Title#0,"""The Specter of Tragedy"""
Explanation#0,"""怨嗟の残滓からなる【仮面】の反応が<br>再び宇宙の変質空間において確認された。<br>全宇宙破滅を望む執念は、凄まじく<br>熾烈を極める戦いになると予想される。<br>本任務は、危険なことから相応の実績と<br>強い覚悟を持つアークスに限定される。<br>――――――――――――――――――――<br>Damage Limit: 999999<br>Failure: Fail objective, time limit expires"""
SimpleExplanation#0,"""Defeat Dark Falz Persona!"""
NpcComMsg1#0,"""Once more, we'll start the strategy to destroy Dark Falz Persona from within the altered space."""
NpcComMsg2#0,"""It seeks to destroy the entire universe. It's expected to use dangerous attacks against us!"""
NpcComMsg3#0,"""Give it your all! Everyone, without fail, destroy this thing and come back safely!"""
Area0S#0,"""Near [Persona]'s Location"""
Area0L#0,"""Oracle: Near [Persona]'s Location"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
