Title#0,"""The Specter of Destruction"""
Explanation#0,"""消滅したはずの【仮面】らしき反応が<br>宇宙の亀裂内部に出現した変質空間で<br>確認された。強い怨嗟が残滓となり<br>異様な姿を形作ったと推測される。<br>アークス各員は、至急現地に出撃し<br>全宇宙破壊を目論む【仮面】を阻止せよ。<br>――――――――――――――――――――<br>Can clear $(0) times, rankings in effect<br>Damage Limit: 999999<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""Defeat Dark Falz Persona!"""
NpcComMsg1#0,"""We'll begin the strategy to destroy Dark Falz Persona from within the altered space."""
NpcComMsg2#0,"""It desires to destroy the entire universe... So let's combine the powers of ARKS and stop it right here, right now!"""
Area0S#0,"""[Persona]'s Signal Location"""
Area0L#0,"""Oracle Universe: [Persona]'s Signal Location"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
