name_7211#0,"""シャンディー"""
ssn_019010_002_0001#0,"""来てくれて、ありがとうございます。<br>あらためて、自己紹介を。"""
ssn_019010_002_0002#0,"""私は、シャンディー。ハルファで発生する<br>さまざまな特異現象を研究しています。"""
ssn_019010_002_0003#0,"""あなたを呼んだのは、今起きている<br>現象の調査を手伝ってもらいたいと思ってまして。"""
ssn_019010_002_0101#0,"""おかえりなさい。<br>さきほどの戦闘データも、バッチリ記録できてました。"""
ssn_019010_002_0102#0,"""ほかの研究員たちも、<br>あなたの活躍に興味をもってくれたみたいです。"""
ssn_019010_002_0103#0,"""このデータをもとに、エネミーの弱点の研究や、<br>有効な装備品の開発に役立てていきたいと思います。"""
ssn_019010_002_0104#0,"""今回は、ありがとうございました。"""
ssn_019010_002_0105#0,"""報酬は、お渡ししているポイントと交換しますので、<br>必要なものがあったら、教えてください。"""
ssn_019010_002_0106#0,"""今後も定期的に、シンボル付きのエネミーとの<br>交戦記録を送ってもらえると嬉しいです。"""
ssn_019010_002_0107#0,"""これからも、よろしくお願いしますね。"""
ssn_019010_002_0201#0,"""この時期のエネミーの変化については、<br>鋭意調査中です"""
ssn_019010_002_0202#0,"""どんな些細なデータでも、<br>提供してもらえると助かります。"""
ssn_019010_002_0301#0,"""ありがとうございます！<br>おかげで貴重なデータが得られました。"""
ssn_019010_002_0302#0,"""これで、ガイーラとエネミーとの関係解明に、<br>一歩近づいた気がします。"""
ssn_019010_002_0303#0,"""それで……ですね。<br>もう少し、エネミーのデータが欲しいと思ってまして。"""
ssn_019010_002_0304#0,"""もしよければ、協力お願いします。"""
ssn_019010_002_0401#0,"""おつかれさまです！<br>今回のデータも、研究に役立たせてもらいます。"""
ssn_019010_002_0402#0,"""それで、これはアークスの戦闘団側からの<br>要請でもあるのですが……。"""
ssn_019010_002_0403#0,"""引き続き、よろしくお願いしますね。"""
ssn_019010_002_0501#0,"""来てくれて、ありがとうございます。"""
ssn_019010_002_0502#0,"""今回も、あなたに調査を<br>お願いできればと思っているのですが……。"""
npc_menu_0001#0,"""タスクを受注"""
npc_menu_0002#0,"""シーズナルポイントとアイテムを交換"""
npc_menu_0003#0,"""シーズナルイベントについて聞く"""
npc_menu_0004#0,"""メニューを閉じる"""
npc_menu_0005#0,"""“シーズナルイベント”について"""
npc_menu_0006#0,"""“シーズナルイベントキャラクター”について"""
npc_menu_0007#0,"""“デイリー／ウィークリータスクの追加”について"""
npc_menu_0008#0,"""“ミスチーフシンボル”について"""
npc_menu_0009#0,"""“シーズンエネミー”について"""
npc_menu_0010#0,"""聞きたいことはない"""
