11_voice_NPC_5590_209#0,"""Oh... Leader, what is it? Did you have difficulty recognising me in this outfit?"""
text01002#0,"""It's me, Annette... Though I understand mistaking me for somebody else. There is a reason why I'm dressed like this...<br>You'll have to ask Gene for the details."""
text02001#0,"""The harsh sun on planet Wopal is dangerous. It carries a risk of heatstroke... not to mention being bad for the skin."""
11_voice_NPC_5590_210#0,"""If you're not careful when tanning, you could get burned. The tingling sensation afterwards is less than pleasant."""
text03001#0,"""I've prepared everything one could need for the sea. If you don't know where your towel is, don't panic."""
text03002#0,"""I've brought a survival handbook... A bat for watermelon splitting, a net for beach volleyball..."""
text03003#0,"""Oh, the Campship has a cargo weight limit... This should be alright, shouldn't it?"""
11_voice_NPC_5590_202#0,"""A barbecue is a good way to cook meals. And planet Wopal has plenty of ingredients..."""
text04002#0,"""We can procure seafood locally...<br>But we'll have to bring our own fruit and vegetables.<br>Oh... We can't forget to bring the yakisoba set."""
text05001#0,"""It seems that the Oceanids have calmed down... For the time being, the safety of the beach has been secured."""
11_voice_NPC_5590_211#0,"""You've helped us out of a tight spot, Leader. I knew you could do it. Thank you so much."""
text05003#0,"""Now that things are peaceful... I'm going to spend some time relaxing. I hope you'll make some time for yourself too, Leader."""
Title#0,"""PSO2es"""
text0001#0,"""For a limited time, the PSO2es characters Gene, Annette, and Bluesy Requiem's Weaponoid are appearing in PSO2!<br><br>PSO2es is a game you can play on your smartphone. You can experience exciting action with simple touch-swipe controls.<br><br>Do battle against mighty enemies with Weaponoids, partners based on familiar weapons from PSO2, at your side!<br>In story mode, experience an epic story in the PSO2 universe, alongside Gene, More and the Darker Busters team, plus new friends like Akhtar, Lien and the Weaponoids!"""
text0002#0,"""PSO2 and PSO2es can be linked to share data. By linking the two games, you can play PSO2es with your PSO2 characters. PSO2es lets you enjoy play PSO2es anytime, anywhere, and improves your efficiency in PSO2 by letting you level up characters on the go, and acquire PSO2es-exclusive items.<br><br>If you're interested, download it now! Play PSO2es, and get to know characters like Gene and Annette! The Darker Busters, the Weaponoids and even more fun characters are waiting for you to start your new adventure!!"""
Title#1,"""PSO2es"""
text0001#1,"""For a limited time, the PSO2es characters Gene, Annette, and Bluesy Requiem's Weaponoid are appearing in swimsuits in PSO2!<br><br>PSO2es is a game you can play on your smartphone. You can experience exciting action with simple touch-swipe controls.<br><br>Do battle against mighty enemies with Weaponoids, partners based on familiar weapons from PSO2, at your side! In story mode, experience an epic story in the PSO2 universe, alongside Gene, More and the Darker Busters team, plus new friends like Akhtar, Lien and the Weaponoids!"""
text0002#1,"""PSO2 and PSO2es can be linked to share data. By linking the two games, you can play PSO2es with your PSO2 characters. PSO2es lets you enjoy play PSO2es anytime, anywhere, and improves your efficiency in PSO2 by letting you level up characters on the go, and acquire PSO2es-exclusive items.<br><br>If you're interested, download it now! Play PSO2es, and get to know characters like Gene and Annette! A new adventure awaits you!!"""
