Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自分死亡5008"""
BuddyDead#0,"""相手死亡5008"""
Evolution#0,"""発展5008"""
Begin#1,"""/ci4 1 우웃, 이오 선배.<br>죄송합니다……"""
Success#1,"""/ci2 1 그, 그렇지 않아요!<br>이오 선배도!\u3000굉장히!<br>멋있었어요!"""
Failure#1,"""/ci4 1 ……죄송합니다.<br>다음엔 폐를 끼쳐드릴 일 없도록<br>좀더 좀더, 정진하겠습니다!"""
Dead#1,"""/ci4 2 그런……나는 그저<br>케이크 가게에 가보고 싶었을<br>뿐이었는데……"""
BuddyDead#1,"""/mn13 /ci1 2 이오 선배!<br>제가 걸림돌이었던 탓에……"""
Evolution#1,"""/ci4 1 우우, 죄송해요 이오 선배.<br>이상한 일에 어울려 달라고 한 탓에."""
Begin#2,"""/mn1 /ci1 2 기, 기다려 주세요-!<br>아, 선배, 도와주시면 안될까요……?<br>그……따라잡을 수 없어서."""
Success#2,"""/ci4 2 네, 네엣!\u3000역시나예요……!<br>아, 기다려주세요-!<br>선배, 정말 감사했습니다!"""
Failure#2,"""/mn23 /ci4 3 우우……죄송합니다.<br>아직도, 미숙할 따름에……<br>선배, 먼저 철수할게요."""
Dead#2,"""/mn5 아아……죄송합니다……<br>저, 한계예요……"""
BuddyDead#2,"""/mn2 와왓……!<br>너무 무리하셨어요……<br>선배, 히, 힘내죠!"""
Begin#3,"""/ci1 2 저, 저도<br>걸림돌이 되지 않도록<br>힘내겠습니다!"""
Success#3,"""/ci2 1 역시, 선배는 대단해요.<br>분명 시바에게도 이길 수 있을 거예요!<br>여기는, 저희에게 맡겨주세요!"""
Failure#3,"""/mn23 /ci4 3 죄송해요, 선배……<br>저희는, 여기까지인가봐요……<br>무사히 돌아와주세요……"""
Dead#3,"""걸림돌일 뿐이라……<br>죄송해요……"""
BuddyDead#3,"""/ci4 2 나, 나 혼자가 되어버렸어!?<br>불안하지만, 힘내지 않으면……!"""
