name_7442#0,"""치토세"""
ssn_015471_0010#0,"""오, 받아줄 거야? 고마워~!"""
ssn_015471_0020#0,"""그래서 부탁하고 싶은 게 뭐냐면…"""
ssn_015471_0030#0,"""메디오라… 제2 뭐시기였더라, 아무튼 그쪽<br>에너미를 좀 해치워주지 않을래?"""
ssn_015471_0040#0,"""그쪽은 에너미가 너무 많아서 곤란하거든~.<br>그 너머를 조사하러 나가지도 못하고…"""
ssn_015471_0050#0,"""그리고 네가 싸우는 모습을<br>또 보고 싶기도 해서~."""
ssn_015471_0060#0,"""나, 더 많이 강해지고 싶어."""
ssn_015471_0070#0,"""지금은 조사원이나 하고 있지만,<br>언젠가는 전투단원이 되고 싶거든~."""
ssn_015471_0080#0,"""그러니까 네가 싸우는 모습을 보고<br>공부하고 싶어."""
ssn_015471_0090#0,"""제3소대 대장 시라유키 씨 알아?<br>그 사람도 엄청 강해~. 완전 리스펙트 중이야."""
ssn_015471_0100#0,"""하지만 내가 보기엔,<br>네가 더 강한 것 같거든, 응."""
ssn_015471_0110#0,"""뭐, 아무튼 그런 거야.<br>잘 부탁해~."""
