name_7448#0,"""카츠라기"""
ssn_015334_0010#0,"""그렇군요……!\u3000정말 감사합니다.<br>그럼 들어주세요."""
ssn_015334_0020#0,"""며칠 전,드라이젠 플랜트 내부에서<br>정찰대가 한“돌즈 무리”와 조우했어요."""
ssn_015334_0030#0,"""일반적인 돌즈와는<br>명백하게 다른 무서운 분위기였다고 하는데……."""
ssn_015334_0040#0,"""싸우려고 해봤지만 손도 발도 안 움직여서,<br>그대로 후퇴하고 말았다고 해요."""
ssn_015334_0050#0,"""우린 이 돌즈 무리를<br>“리콘기간츠”라고 부르고 있어요."""
ssn_015334_0060#0,"""말 그대로, 기간틱스처럼 강력한<br>돌즈의 척후죠."""
ssn_015334_0070#0,"""큰 피해가 생기기 전에<br>대책을 세우고 싶은데……."""
ssn_015334_0080#0,"""여전히 손이 비는 인원이 없어서요……."""
ssn_015334_0090#0,"""그래서 다시 한 번 데이터 수집을<br>협력해 주셨으면 해요."""
ssn_015334_0100#0,"""상대의 힘은 미지수니까,<br>이번엔 접촉하는 것만으로 충분해요."""
ssn_015334_0110#0,"""……물론,<br>쓰러트려 주셔도 되지만……."""
ssn_015334_0120#0,"""거듭 말씀드리지만,<br>모쪼록 조심하셔야 해요."""
