name_7448#0,"""카츠라기"""
ssn_015330_0001#0,"""요전에 에아리오에서 온 아크스시군요!<br>당신에 대한 소문은 들었어요. 실력이 굉장하다던데요?"""
ssn_015330_0002#0,"""스티아의 돌즈는 하나같이 강적들이라,<br>당신같은 아크스는 얼마든지 환영이에요."""
ssn_015330_0101#0,"""저는 이 선발대에서<br>기술지원을 맡고 있는 카츠라기라고 해요!"""
ssn_015330_0102#0,"""스티아에 있는 구조물이나 에너미를 조사해서<br>전투를 지원하고 있는데……."""
ssn_015330_0103#0,"""조금 문제가 생겨서요.<br>그래서 당신께 도움을 구하고 싶어요."""
ssn_015330_0104#0,"""제 사정을 말씀드려도 될까요?"""
ssn_015330_0201#0,"""리전 마그의 데이터를 보내주세요.<br>스티아 외연부에 있는 녀석으로 부탁드릴게요."""
ssn_015330_0202#0,"""잘 부탁드려요!"""
ssn_015330_0301#0,"""그렇군요…….<br>시간이 나시면, 꼭 말씀해 주세요."""
ssn_015330_1001#0,"""요전엔 정말 고마웠어요!<br>큰 도움이 됐어요."""
ssn_015330_1002#0,"""어쩌면 또 부탁드리게 될지도 몰라요.<br>그 때도 부디 사정을 들어주셨으면 해요."""
ssn_015330_1101#0,"""마침 잘 오셨어요!<br>실은 당신께 또 부탁하고 싶은 일이 있거든요."""
ssn_015330_1102#0,"""그런데……, 이번 일은 약간 위험한 일이라서<br>억지로 맡기진 않을게요."""
ssn_015330_1201#0,"""리콘기간츠의 데이터 수집을 부탁드려요.<br>가까이서 그 모습을 확인하는 것만으로 충분해요."""
ssn_015330_1202#0,"""상대의 힘은 미지수에요.<br>모쪼록 조심해요."""
ssn_015330_1301#0,"""그렇군요…….<br>마음이 바뀌면 꼭 말씀해 주세요."""
ssn_015330_1401#0,"""당신 덕분에<br>귀중한 데이터를 많이 얻을 수 있었어요."""
ssn_015330_1402#0,"""다음 전투에 살릴 수 있을 거에요.<br>다른 대원들도 고마워하고 있어요."""
ssn_015330_1403#0,"""또 무슨 일이 생기면 말씀드릴게요.<br>잘 부탁드려요!"""
