name_7441#0,"""시라유키"""
ssn_015480_0001#0,"""에아리오에서 온 아크스로군.<br>그대의 소문은 익히 들었다."""
ssn_015480_0002#0,"""그 솜씨, 나도 꼭 한 번 보고 싶군.<br>앞으로도 잘 부탁한다."""
ssn_015480_0101#0,"""음, 그대인가.<br>그러고 보니 인사도 안 했었군."""
ssn_015480_0102#0,"""내 이름은 시라유키. 여기 스티아 선발대에서<br>전투단 제3소대장을 맡고 있다."""
ssn_015480_0103#0,"""그대의 솜씨에 관심이 있다."""
ssn_015480_0104#0,"""혹 괜찮다면,<br>그 실력을 보여줬으면 한다."""
ssn_015480_0201#0,"""목표는<br>나이트 시프트 알터즈."""
ssn_015480_0202#0,"""위치는<br>메디오라 외곽 제2구."""
ssn_015480_0203#0,"""그럼 도전해 다오.<br>잘 부탁한다."""
ssn_015480_0301#0,"""그렇군.<br>그럼, 다음 기회에."""
ssn_015480_1001#0,"""음, 그대인가.<br>혹 괜찮다면, 또 솜씨를 보고 싶군."""
ssn_015480_1002#0,"""받아주겠나?"""
ssn_015480_1101#0,"""목표는 “볼트 레무너스”와<br>“다크 레무너스” 둘이다."""
ssn_015480_1102#0,"""각각 스티아 외연부와<br>메디오라 외곽 제2구에 위치해 있지."""
ssn_015480_1103#0,"""그럼 다녀오도록.<br>잘 부탁한다."""
ssn_015480_1201#0,"""그렇군.<br>그럼, 다음 기회에."""
