name_7444#0,"""키리시마"""
ssn_015300_0001#0,"""여기 스티아에서의 임무는<br>정말 가혹해요."""
ssn_015300_0002#0,"""솔직히 저도 이 정도일 거라곤<br>생각하지 않았어요……."""
ssn_015300_0101#0,"""전 이 캠프에서<br>후방지원을 담당 중인 키리시마라고 해요."""
ssn_015300_0102#0,"""당신에게 상담하고 싶은 일이 있는데…….<br>괜찮을까요?"""
ssn_015300_0201#0,"""알터즈가 줄어들면,<br>보급이 더 매끄러워질 거에요."""
ssn_015300_0202#0,"""조사원들을 위해서라도<br>잘 부탁드릴게요."""
ssn_015300_0301#0,"""그렇군요…….<br>그럼 다음 기회에 부탁드릴게요."""
ssn_015300_1001#0,"""당신 덕분에<br>조사원들의 활동도 순조롭다고 해요."""
ssn_015300_1002#0,"""또 무슨 일이 생기면 말씀드리고 싶어요.<br>잘 부탁드릴게요."""
ssn_015300_1101#0,"""……저, 저기.<br>죄송해요!"""
ssn_015300_1102#0,"""지금 제 동료한테 큰 일이 생겨서…….<br>도와주실 수 있을까요?"""
ssn_015300_1201#0,"""저도 같이 가고 싶지만,<br>전 실력이 안 좋아서 방해만 될 거에요……."""
ssn_015300_1202#0,"""부탁드립니다……！"""
ssn_015300_1301#0,"""그렇군요…….<br>그럼 다음 기회에 부탁드릴게요."""
ssn_015300_1401#0,"""정말 큰 신세를 졌어요."""
ssn_015300_1402#0,"""그런데 치토세 씨는 그 뒤로도 기죽지 않고<br>플랜트를 오간다고 해요."""
ssn_015300_1403#0,"""행실은 가벼워 보이지만,<br>심지는 굳은 사람이라고……."""
ssn_015300_1404#0,"""동료애도 깊고 정의감도 있어서,<br>언젠가 훌륭한 아크스가 될 거라고 생각해요."""
