name_7442#0,"""치토세"""
ssn_015306_0001#0,"""누구야!"""
ssn_015306_0002#0,"""아, 구하러 와준 거구나.<br>다행이다! 고마워~!"""
ssn_015306_0003#0,"""어? 키리시마가 부탁한 거야?"""
ssn_015306_0004#0,"""그렇구나~<br>역시 그 사람, 좋은 사람이라니까!"""
ssn_015306_0005#0,"""적이 너무 많아서 꼼짝도 못 했거든.<br>미끼 역할을 하다가 도망칠 타이밍을 놓쳐버려서… 헤헤."""
ssn_015306_0006#0,"""마그도 망가져서 연락도 끊기고 말이야~.<br>이야~ 정말 혼났네."""
ssn_015306_0007#0,"""그보다 말인데, 너 강해 보이네.<br>이 근처 돌즈 좀 잡아주지 않을래?"""
ssn_015306_0101#0,"""너, 강해 보이네~"""
ssn_015306_0102#0,"""이 근처 돌즈 좀 잡아주지 않을래?"""
ssn_015306_0201#0,"""에너지 플랜트 데이터야.<br>공장 한가운데 있는 제일 큰 녀석."""
ssn_015306_0202#0,"""네 실력이면 문제없겠지.<br>잘 부탁해~!"""
