name_7446#0,"""소우야"""
ssn_015311_0010#0,"""그래, 고맙다."""
ssn_015311_0020#0,"""네가 도와줬으면 하는 건<br>물자의 현지조달을 위한 사전조사다."""
ssn_015311_0030#0,"""우린 센트럴 시티에서 정기적으로 보급을 받는 중이지만<br>그건만으론 모든 부대의 요구를 충족시킬 수 없어."""
ssn_015311_0040#0,"""스티아에서 쓸만한 것들을 긁어모아서<br>부족한 보급을 메꾸고 있는 상태다."""
ssn_015311_0050#0,"""그 중 내가 주목하고 있는 게 인식방해처리가 되어 있는<br>“수수께끼의 상자”에 대한 소문이다."""
ssn_015311_0060#0,"""북쪽에 있는 드라이젠 플랜트에 목격정보가 있고<br>“인비지블 박스”라고 불리고 있지."""
ssn_015311_0070#0,"""자세한 구조나 출현조건은 불명이지만,<br>안에는 쓸만한 물건이 들어있다더군."""
ssn_015311_0080#0,"""그걸 네가<br>찾아주었으면 한다."""
ssn_015311_0090#0,"""인비지블 박스에 대한 정보가 늘어나면<br>물자 부족이 해결될지도 모르니까."""
ssn_015311_0100#0,"""마그의 소나 반응이 단서가 되어줄 거야.<br>부탁한다."""
ssn_015311_0110#0,"""아아, 그렇지.<br>이번 조사 대상은 어디까지나“상자” 만이다."""
ssn_015311_0120#0,"""상자의 내용물은 네가 가져도 되니까<br>안심해도 돼."""
