name_7440#0,"""하츠카리"""
ssn_015490_0001#0,"""스티아에 잘 왔어!"""
ssn_015490_0002#0,"""센트럴에서 받은 연락이 좀 갑작스러웠거든.<br>제대로 환영해 주지 못해서 미안해!"""
ssn_015490_0003#0,"""다른 녀석들이 어떻게 생각하는지는 몰라도,<br>난 환영한다고!"""
ssn_015490_0101#0,"""안녕! 난 이 선발대의 전투단에서<br>제2소대 대장을 맡은 하츠카리라고 해."""
ssn_015490_0102#0,"""낯선 곳일텐데도 활약이 굉장한데?<br>솔직히 우리도 한시름 놓았어."""
ssn_015490_0103#0,"""하지만, 스티아에 관해선<br>아직 모르는 것들이 많지?"""
ssn_015490_0104#0,"""성가신 적이라던가<br>알려줄 테니까 듣고 가."""
ssn_015490_0201#0,"""“존넬”이라는<br>귀찮은 놈들이 있거든."""
ssn_015490_0202#0,"""주변의“다즐 팟”을 부수기 전엔<br>본체를 공격할 수 없어……."""
ssn_015490_0203#0,"""혹시 발견하면<br>제일 먼저 쓰러트려야 해!"""
ssn_015490_0301#0,"""응, 다른 일이 있나 보네.<br>그럼 나중에 얘기해 줘."""
