name_7446#0,"""소우야"""
ssn_015451_0010#0,"""고맙다."""
ssn_015451_0020#0,"""이번에 조사해 줬으면 하는 건<br>“군광석”이라고 불리는 광석이야."""
ssn_015451_0030#0,"""드라이젠 플랜트를 벗어나면 나오는<br>페사 암릉에서 목격정보가 들어왔지."""
ssn_015451_0040#0,"""무수한 광석이 고열로 융해돼서<br>섞인 채 응고된 걸로 보이더군."""
ssn_015451_0050#0,"""각각의 성질이 바뀌지 않았다면<br>한 번에 다량의 광석을 얻을 수 있다고 본다."""
ssn_015451_0060#0,"""……문제는 이 군광석이<br>상당히 단단한 것 같아."""
ssn_015451_0070#0,"""어지간한 공격으로는<br>흠집도 안 난다더군."""
ssn_015451_0080#0,"""일반적인 무기로 안 먹힌다면<br>어떻게 부숴야 할지……."""
ssn_015451_0090#0,"""하여튼, 페사 암릉에 가면<br>그걸 찾아줘."""
ssn_015451_0100#0,"""부탁한다."""
