name_7446#0,"""소우야"""
ssn_015310_0001#0,"""물자의 보급과 관리는<br>장기전에 들어갔을 때 무엇보다 중요하지."""
ssn_015310_0002#0,"""눈에 띄는 병과는 아니지만<br>난 이 임무에 자부심을 갖고 있어."""
ssn_015310_0003#0,"""너처럼 전선에서 싸우는 동료들을<br>온 힘을 다해 지원해 주지."""
ssn_015310_0101#0,"""너, 마침 잘 됐군."""
ssn_015310_0102#0,"""난 여기 스티아 선발대의 보급부대 소속인<br>소우야라고 한다."""
ssn_015310_0103#0,"""네가 조금 도와줬으면 하는 일이 있는데."""
ssn_015310_0104#0,"""괜찮다면 이야기를 들어주겠나?"""
ssn_015310_0201#0,"""“인비지블 박스”는<br>드라이젠 플랜트에서 목격됐다는 정보가 있다."""
ssn_015310_0202#0,"""마그의 소나 반응이 단서가 되어줄 거야.<br>부탁한다."""
ssn_015310_0301#0,"""지금은 바쁜가 보군…….<br>시간이 비게 되면 꼭 협력해 줘."""
