msc_020080_0010#0,"""이걸 이렇게…"""
msc_020080_0020#0,"""이쪽을 이렇게…"""
msc_020080_0030#0,"""좋아…"""
msc_020080_0040#0,"""준비 완료!<br>언제든 할 수 있어!"""
msc_020080_0050#0,"""이걸로 끝이다!"""
msc_020080_0060#0,"""센트럴 캐논, 발사!"""
msc_020080_0070#0,"""아직 안 끝났어!"""
msc_020080_0080#0,"""놓치지 않겠어!"""
msc_020080_0090#0,"""마지막은 …너에게 양보할게."""
msc_020080_0100#0,"""사라져 간, 동료들 몫까지."""
msc_020080_0110#0,"""…부탁해."""
msc_020080_0120#0,"""너라면 할 수 있어!"""
msc_020080_0130#0,"""제발!"""
msc_020080_0140#0,"""할파에 평화를!"""
msc_020080_0150#0,"""좋아!"""
