a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""T:Trick or Treat 2019!"""
Explanation#0,"""This is an urgent notice for all ARKS<br>members.<br>A large number of Darkers and Mechs<br>have occupied the planned venue for<br>the Halloween party on planet Lillipa.<br>All ARKS are to sortie immediately and<br>ensure the safety of the venue using<br>the defensive weapons deployed on-site.<br>――――――――――――――――――――<br>Failure Conditions / Time limit runs out"""
NpcComMsg1#0,"""This is terrible! It's awful!<br>A ton of enemies have just appeared in the spot we were planning to use for our Halloween party!"""
NpcComMsg2#0,"""In addition to the Darkers and the Mechs, we're detecting a powerful reading that we can't identify!"""
NpcComMsg3#0,"""But we have a super secret weapon up our sleeves this time!<br>Use it to clean up those enemies!"""
SimpleExplanation#0,"""Head to the final area!"""
