name01#0,"""Xiera"""
text01#0,"""OK, that was your third Normal Attack!"""
text02#0,"""Next, let's do some combo training."""
text03#0,"""By learning skills, you will unlock <red>your fourth and fifth Normal Attacks<c>!"""
text101#0,"""Task 2: <yellow>Use your fifth Normal Attack"""
train_title#0,"""Task 2: <yellow>Use your fifth Normal Attack"""
tut_title#0,"""Using Normal Attacks"""
text100#0,"""・Use Normal Attacks continuously<br>\u3000with <%NormalAttack>"""
tut_win_title#0,"""Dark Blast skills"""
tut_win_text099#0,"""By selecting <c ffff00>\""Learn Skills\""<c> under \""Dark Blast\"" on the Main Menu, you can upgrade your Dark Blast skills and master new skills.<br><br>To strengthen and learn skills, you need <c ffff00>\""EXP\""<c> dedicated to Dark Blasts. During quests, EXP will accumulate from defeating enemies. You obtain the accumulated EXP on clearing the quest. (Accumulated EXP is shared across your account.)<br><br>Some skills have <c ffff00>release conditions<c>."""
tut_win_text100#0,"""In Elder Form, by selecting \""Dark Blast\"" from the Main Menu and learning the skills <c ffff00>Normal Attack Combo Plus 1 and 2<c>, you can add a fourth and fifth stage to your Normal Attacks.<br><br>The fourth and fifth Normal Attacks take a long time to execute, but their power is very high."""
