name01#0,"""Xiera"""
text01#0,"""Dark Blast also has a powerful finishing move!"""
text02#0,"""<red>Ultimate Impact<c> can only be used once each time you activate Dark Blast, but its power makes it a true deathblow!"""
text101#0,"""Task 5: <yellow>Use Ultimate Impact from the Subpalette"""
train_title#0,"""Task 5: <yellow>Use Ultimate Impact from the Subpalette"""
tut_title#0,"""Using Ultimate Impact"""
text100#0,"""・Activate Ultimate Impact with <%SubPalette2>"""
text101#1,"""・Select Ultimate Impact with<br>\u3000<%SubPaletteLeft> and <%SubPaletteRight><br>・Activate Ultimate Impact with<br>\u3000<%SubPalette>"""
text100_v#0,"""・Select Ultimate Impact<br>\u3000from the Subpalette"""
tut_win_title#0,"""Ultimate Impact"""
tut_win_text100#0,"""Ultimate Impact is a skill that gathers Photons into your arms and unleashes them all in one powerful blow.<br><br>It has very high range and very high attack power, but it can only be used once each time you activate Dark Blast."""
