name01#0,"""Xiera"""
text01#0,"""\""Darkness Wall\"" is a special skill that affects enemy behaviour."""
text02#0,"""By using Darkness Wall, you can <red>attract the enemy's attention<c> and keep them away from softer targets!"""
text101#0,"""Task 4: <yellow>Attract the enemy's attention with \""Darkness Wall\"""""
train_title#0,"""Task 4: <yellow>Attract the enemy's attention with \""Darkness Wall\"""""
tut_title#0,"""Using Darkness Wall"""
text100#0,"""・Activate Darkness Wall with <%SubPalette1>"""
text101#1,"""・Select Darkness Wall with<br>\u3000<%SubPaletteLeft> and <%SubPaletteRight><br>・Activate Darkness Wall with<br>\u3000<%SubPalette>"""
text100_v#0,"""・Select Darkness Wall<br>\u3000from the Subpalette"""
tut_win_title#0,"""Darkness Wall"""
tut_win_text100#0,"""Darkness Wall is a skill that deploys a large wall of Photons in front of you.<br><br>Enemies that are nearby when the wall is deployed will be attracted to the wall."""
