IncidentName#0,"""$(0) 포획하기!"""
TrialBeginMsg#0,"""$(0)을 포획 장치로 포획하라!"""
TrialAbstract#0,"""$(0)을 포획 장치로 포획하라!"""
ToastOnRestTryCaptureNum#0,"""포획 장치 기동 가능 횟수\u3000남은 $(0)회."""
ToastOnUselessAccess#0,"""현재 포획 장치는 기동할 수 없다."""
NpcComOnBegin#0,"""$(0)이에요!<br>전용 장치를 사용해서<br>붙잡아 주세요!"""
NpcComOnAfterBegin#0,"""포획 장치는 $(0)에 배치했어요!<br>어떻게든 유도해서 포획해<br>주세요!"""
NpcComOnSuccess#0,"""/face2 대상 포획 성공이에요!<br>아주 훌륭한 움직임이었어요!"""
NpcComOnFailure#0,"""/face6 이, 이제는 무리인 것 같아요...<br>통상 임무로 돌아가 주세요."""
NpcComOnEnableCapture#0,"""대상을 포획 유효 범위 안에 포착!<br>지금이에요!<br>포획 장치를 기동하세요!"""
NpcComOnCaptureSwitch#0,"""타이밍은 좋았어요.<br>이제 대상을 유효 범위 안에<br>확실히 붙잡아 두세요!"""
NpcComOnDisableCapture#0,"""/face4 지금은 포획 장치를 못 써요!<br>먼저 대상을 범위 안으로<br>유도해 봐요!"""
NpcComOnSuccessCapture#0,"""/face2 대상 포획, 성공이에요!<br>곧바로 전송할게요!"""
NpcComOnFailedCapture#0,"""/face4 아, 아앗, 포획 실패예요!<br>유효 범위가 제한돼 있으니<br>조심해 주세요!"""
NpcComOnAttackTarget#0,"""/face4 저기, 저기요!<br>목표는 어디까지나 포획이에요!<br>대상에 대한 공격은 피해주세요!"""
NpcComOnDeadTarget#0,"""/face6 포획 대상의 생체 반응 소실...<br>...으음, 어쩔 수 없네요.<br>다음 기회를 노려 봐요."""
NpcComOnLastCapture#0,"""전송 장치가 좀 힘들어 보여요...<br>앞으로 한 번이 한계예요!<br>신중하게 해 주세요!"""
NpcComOnBegin#1,"""$(0)의<br>출현을 확인했습니다.<br>목표를 포획해 주세요."""
NpcComOnAfterBegin#1,"""포획 장치를 $(0)에 전송.<br>대상을 유도한 뒤 포획.<br>지령은 이상입니다."""
NpcComOnSuccess#1,"""대상 포획을 확인했습니다.<br>신속히 대처해 주셔서 감사합니다."""
NpcComOnFailure#1,"""포획 임무 실패로 판단.<br>통상 임무로 복귀하세요."""
NpcComOnEnableCapture#1,"""포획 유효 범위 안에 대상 확인.<br>포획 장치를 기동하세요."""
NpcComOnCaptureSwitch#1,"""타이밍에는 문제없음.<br>이제 대상을 유효 범위 안에<br>붙잡아 두세요."""
NpcComOnDisableCapture#1,"""현재 포획 장치는 사용 불가입니다.<br>먼저 대상을 포획 범위 안으로<br>유도하세요."""
NpcComOnSuccessCapture#1,"""대상 포획 확인.<br>전송 시퀀스로 이행합니다."""
NpcComOnFailedCapture#1,"""포획 실패 확인.<br>포획 장치의 유효 범위를 확인하고<br>다시 포획을 시도하세요."""
NpcComOnAttackTarget#1,"""재확인. 목적은 대상 포획입니다.<br>포획 대상을 공격하지 마세요."""
NpcComOnDeadTarget#1,"""포획 대상의 반응이 소실됐습니다.<br>포획은 다음 기회에 진행합니다."""
NpcComOnLastCapture#1,"""전송 장치의 부하 한계까지<br>앞으로 한 번 남았습니다.<br>신중한 시도를 요청합니다."""
