IncidentName#0,"""$(0) 토벌"""
TrialBeginMsg#0,"""$(0) 격퇴하기!"""
TrialAbstract#0,"""$(0) 토벌하기!"""
NpcComOnPreBegin#0,"""판다지 비트의 파괴를<br>확인했습니다! 수고하셨습니다!<br>……어, 어라? 거대한 반응이!?"""
NpcComOnBegin#0,"""긴급 통신!<br>새로운 에너미의 접근을 확인!"""
NpcComOnSuccess#0,"""$(0)의<br>격파를 확인했습니다!<br>각 대원의 협조에 감사드립니다!"""
NpcComOnPreBegin#1,"""판다지 비트의 파괴를 확인.<br>이거 이거 일단락 됐군……<br>……잠깐 기다려 뭐야 이 반응은!"""
NpcComOnBegin#1,"""새로운 적성 반응의 접근을 확인!<br>경계를 게을리하지 마라!"""
NpcComOnSuccess#1,"""목표의 격파를 확인했다.<br>각 대원 통상 임무로 돌아가라."""
NpcComOnPreBegin#2,"""해냈네요!<br>판다지 비트 파괴!<br>……어라? 이 반응은 거대해요!"""
NpcComOnBegin#2,"""와와왓! 새로운 적!?<br>어느새 이렇게나 가까이에!?"""
NpcComOnSuccess#2,"""어, 어떻게든 목표 격파에<br>성공한 모양이에요.<br>후우, 다행이다……"""
NpcComOnPreBegin#3,"""판다지 비트 파괴 확인.<br>……입니다만 다른 반응이<br>다가오고 있습니다."""
NpcComOnBegin#3,"""긴급 통신.<br>새로운 적성 반응 접근<br>격파해주세요."""
NpcComOnSuccess#3,"""목표를 격파.<br>훌륭한 대응이었습니다."""
NpcComOnPreBegin#4,"""판다지 비트의 파괴 확인!<br>……응? 그런데 뭘까요 이 반응.<br>여러분 계속해서 주의해주세요."""
NpcComOnBegin#4,"""긴급 통신입니다!<br>강력한 적성 반응 확인했습니다!<br>대응 잘 부탁드립니다!"""
NpcComOnSuccess#4,"""적성 존재 반응 소실 확인!<br>수고하셨습니다!"""
