IncidentName#0,"""에너지 팟을 보충해라!"""
TrialBeginMsg#0,"""에너지 팟을 보충하며<br>적의 공격으로부터 지켜라!"""
TrialAbstract#0,"""에너지 팟을 보충하며<br>적의 공격으로부터 지켜라!"""
ChanceTime#0,"""적 퇴치에 성공!<br>에너지 결정을 회수하라!"""
NpcComOnBegin#0,"""이 훈련에서는 에너지 결정을 모아<br>에너지 팟을 가득 채우는게<br>목표입니다."""
NpcComOnContainerPop#0,"""에너지 팟과 결정을 전송합니다.<br>적이 노려 올테니<br>계속해서 쓰러트려 주세요."""
NpcComOnTargetPosition#0,"""에너지 팟을 노리고 있습니다.<br>$(0)・$(1)、$(2)・$(3)에<br>방어를 해주세요."""
NpcComOnBossTargetPosition#0,"""$(0) 대형 에너미 출현.<br>$(1) 에너지 팟이<br>표적입니다."""
NpcComOnTimeLimit30#0,"""훈련 완료까지 앞으로 30초.<br>그때까지 버티거나 모든 팟을<br>가득 채우면 클리어에요."""
NpcComOnSuccess#0,"""에너지 팟 보충 완료.<br>수고하셨습니다."""
NpcComOnFailure#0,"""에너지 팟이 가득찼어요.<br>이로써 훈련 완료입니다.<br>수고하셨습니다."""
NpcComGaugeHp25#0,"""에너지 팟 잔량, 25% 도달.<br>에너지 결정을 슉슉 회수해서<br>보충해 주세요."""
NpcComGaugeHp50#0,"""에너지 팟 잔량, 50% 도달.<br>절반까지 보충이 끝났습니다.<br>계속 열심히 해주세요."""
NpcComGaugeHp75#0,"""에너지 팟 잔량, 75% 도달.<br>겨우 끝이 보이기 시작하네요.<br>느낌이 좋아요."""
NpcComGaugeHp90#0,"""에너지 팟 잔량, 90% 도달.<br>완전히 찰때까지 조금밖에 남지 않았어요.<br>라스트 스퍼트에요."""
NpcComOnBegin#1,"""이 훈련에서는 에너지 결정을 모아<br>에너지 팟을 가득 채우는게<br>목표입니다."""
NpcComOnContainerPop#1,"""/atime2.5 /voice11_voice_navi23_bou_02 에너지 팟과 결정을 전송합니다.<br>적이 노려 올테니<br>계속해서 쓰러트려 주세요."""
NpcComOnTargetPosition#1,"""/atime2.5 /voice11_voice_navi23_bou_07 에너지 팟을 노리고 있습니다.<br>$(0)・$(1),$(2)・$(3)에<br>방어를 해주세요."""
NpcComOnBossTargetPosition#1,"""/atime2.5 /voice11_voice_navi23_bou_08 $(0) 대형 에너미 출현.<br>$(1) 에너지 팟이<br>표적입니다."""
NpcComOnTimeLimit30#1,"""/atime2.5 /voice11_voice_navi23_bou_09 훈련 완료까지 앞으로 30초.<br>그때까지 버티거나 모든 팟을<br>가득 채우면 클리어에요."""
NpcComOnSuccess#1,"""에너지 팟 보충 완료.<br>수고하셨습니다."""
NpcComOnFailure#1,"""에너지 팟이 가득찼어요.<br>이로써 훈련 완료입니다.<br>수고하셨습니다."""
NpcComGaugeHp25#1,"""/atime2.5 /voice11_voice_navi23_bou_03 에너지 팟 잔량, 25% 도달.<br>에너지 결정을 슉슉 회수해서<br>보충해 주세요."""
NpcComGaugeHp50#1,"""/atime2.5 /voice11_voice_navi23_bou_04 에너지 팟 잔량, 50% 도달.<br>절반까지 보충이 끝났습니다.<br>계속 열심히 해주세요."""
NpcComGaugeHp75#1,"""/atime2.5 /voice11_voice_navi23_bou_05 에너지 팟 잔량, 75% 도달.<br>겨우 끝이 보이기 시작하네요.<br>좋은 느낌이에요."""
NpcComGaugeHp90#1,"""에너지 팟 잔량, 90% 도달.<br>완전히 찰때까지 조금밖에 남지 않았어요.<br>라스트 스퍼트에요."""
