IncidentName#0,"""$(0) 토벌"""
TrialBeginMsg#0,"""$(0)を$(1)体倒せ！"""
TrialAbstract#0,"""特定数の$(0) 토벌하기!"""
NpcComOnBegin#0,"""周囲に$(0)の<br>発生を確認！<br>アークス各員は警戒して下さい！"""
NpcComOnSuccess#0,"""/face2 目標の反応消失を確認！<br>厳戒令を解除します。"""
NpcComOnBegin#1,"""周囲に$(0)の<br>発生を確認した。<br>各員、警戒を怠るなよ。"""
NpcComOnSuccess#1,"""目標の撃退を確認。<br>よくやった、厳戒令を解除する。"""
NpcComOnBegin#2,"""아아앗! あ아아앗!<br>$(0)が周囲に<br>出てきました！ 気をつけて！"""
NpcComOnSuccess#2,"""/face2 目標反応、消失しましたー！<br>おつかれさまでしたっ！"""
NpcComOnBegin#3,"""$(0)の<br>反応を周辺で感知。<br>警戒を。"""
NpcComOnSuccess#3,"""目標の反応、完全消失。<br>통상 임무로 돌아가주세요."""
NpcComOnBegin#4,"""周囲に$(0)の<br>出現を確認しました！<br>気をつけてください！"""
NpcComOnSuccess#4,"""目標の反応、全消失！<br>無事に撃退できて、なによりです！"""
NpcComOnBegin#5,"""周囲に敵性存在の<br>出現を確認しました！<br>気をつけてください！"""
NpcComOnSuccess#5,"""目標の反応、全消失！<br>無事に撃退できて、なによりです！"""
