IncidentName#0,"""모든 마가츠를 격파하라!"""
TrialBeginMsg#0,"""제한 시간 내에 모든 마가츠를 격파하라!"""
TrialAbstract#0,"""제한 시간 내에 모든 마가츠를 격파하라!"""
NpcComOnBegin#0,"""지각 기기에 통지. 제한시간 내 목표 격파가<br>본 작전의 목적입니다.<br>……무운을 빕니다!"""
NpcComOnMge1Hp50#0,"""목표 체력 저하.<br>공격을 계속 해주세요."""
NpcComOnMge1Hp10#0,"""목표의 체력이 얼마 남지 않았습니다.<br>그대로 격파해주세요."""
NpcComOnMge1Dead#0,"""목표 토벌을 확인.<br>……아뇨, 이건……『마가츠』안에 <br>높은 에너지 반응 감지! 이럴수가!"""
NpcComOnMge2Hp50#0,"""목표 체력 저하.<br>하지만, 방심하지는 마세요."""
NpcComOnMge2Hp10#0,"""목표의 체력이 얼마 남지 않았습니다.<br>단숨에 끝내버리세요."""
NpcComOnMge2Dead#0,"""목표 격파 확인.<br>……하지만 아직도 계속될 것 같습니다.<br>계속 경계 해주세요."""
NpcComOnMge3Attack#0,"""목표 내부에서 높은 에너지 반응을<br>확인했습니다! 각기, <red>회피<black>를!"""
NpcComOnMge3Hp50#0,"""목표 체력 저하.<br>각기, 계속해서 공격을!"""
NpcComOnMge3Hp10#0,"""목표의 체력이 얼마 남지 않았습니다.<br>이걸로 일격에 마무리 짓고<br>끝내버리죠!"""
NpcComOnSuccess#0,"""……『마가츠』의 소멸을 확인했습니다.<br>임무 완료입니다.<br>정말로, 수고하셨습니다."""
NpcComOnBegin#1,"""＊"""
NpcComOnMge1Hp50#1,"""＊"""
NpcComOnMge1Hp10#1,"""＊"""
NpcComOnMge1Dead#1,"""＊"""
NpcComOnMge2Hp50#1,"""＊"""
NpcComOnMge2Hp10#1,"""＊"""
NpcComOnMge2Dead#1,"""＊"""
NpcComOnMge3Attack#1,"""＊"""
NpcComOnMge3Hp50#1,"""＊"""
NpcComOnMge3Hp10#1,"""＊"""
NpcComOnSuccess#1,"""＊"""
NpcComOnBegin#2,"""＊"""
NpcComOnMge1Hp50#2,"""＊"""
NpcComOnMge1Hp10#2,"""＊"""
NpcComOnMge1Dead#2,"""＊"""
NpcComOnMge2Hp50#2,"""＊"""
NpcComOnMge2Hp10#2,"""＊"""
NpcComOnMge2Dead#2,"""＊"""
NpcComOnMge3Attack#2,"""＊"""
NpcComOnMge3Hp50#2,"""＊"""
NpcComOnMge3Hp10#2,"""＊"""
NpcComOnSuccess#2,"""＊"""
NpcComOnBegin#3,"""＊"""
NpcComOnMge1Hp50#3,"""＊"""
NpcComOnMge1Hp10#3,"""＊"""
NpcComOnMge1Dead#3,"""＊"""
NpcComOnMge2Hp50#3,"""＊"""
NpcComOnMge2Hp10#3,"""＊"""
NpcComOnMge2Dead#3,"""＊"""
NpcComOnMge3Attack#3,"""＊"""
NpcComOnMge3Hp50#3,"""＊"""
NpcComOnMge3Hp10#3,"""＊"""
NpcComOnSuccess#3,"""＊"""
NpcComOnBegin2S#0,"""잘 듣게나.<br>지금부터「창결계」의 힘으로<br>『마가츠』를 정화할 준비를 시작하겠네."""
NpcComOnBegin3S#0,"""그대들은『마가츠』를 「창결계」안에<br>가둬 주게.<br>물론, 쓰러뜨려도 상관없다네."""
NpcComOnMge1Hp90S#0,"""이 『마가츠』の力は偏っておるな.<br>この器の弱点は<red>射撃<black>のようじゃ."""
NpcComOnMge2Begin2S#0,"""あれは『마가츠』の魂じゃ.<br>身体など、ヤツにとってはただの器.<br>砕いても、魂までは浄化できん."""
NpcComOnMge2Begin3S#0,"""だが、器がなければ何も出来ぬ.<br>그대들은このまま戦いを続けよ.<br>『마가츠』の魂は、わらわが封じる."""
NpcComOnMge2Hp90S#0,"""こやつも偏りがあるようじゃ.<br>この器には<red>斬撃<black>で対抗せよ."""
NpcComOnMge3Begin2S#0,"""『마가츠』も本気のようじゃな.<br>倒すには骨が折れるであろうが<br>ヤツの消耗も大きいはずじゃ."""
NpcComOnMge3Begin3S#0,"""この器を倒せば、時を待たずとも<br>「창결계」で浄化ができるであろう.<br>……頼むぞ."""
NpcComOnMge3Hp90S#0,"""こやつの<red>両膝<black>、<red>両肩<black>、<red>腹部<black>と<red>頭部<black>に<br>力が集まっておるようじゃ.<br>それを壊せば有利に事を運べよう."""
NpcComOnTimeOut0Mge1S#0,"""ち、逃げられてしまったな.<br>だがまあ、ヤツの魂は削れた.<br>まずまずの結果じゃろう."""
NpcComOnTimeOut0Mge2S#0,"""『마가츠』を押さえ込めたのは<br>そなたらの尽力あってこそ.<br>感謝を述べるぞ."""
NpcComOnTimeOut1Mge1S#0,"""ち、逃げられてしまったな.<br>だが、ヤツの魂は相当削っておいた.<br>上々の結果じゃな."""
NpcComOnTimeOut1Mge2S#0,"""『마가츠』を押さえ込めたのは<br>そなたらの尽力あってこそ.<br>感謝を述べるぞ."""
