IncidentName#0,"""토벌 대상을 모두 격파하라!"""
TrialBeginMsg#0,"""모든 적을 격파하라!"""
TrialAbstract#0,"""모든 적을 격파하라!"""
NpcComOnPreBegin#0,"""냐우 철수……아니!<br>철수 영향으로 공간에 왜곡 발생<br>주의해주세요!"""
NpcComOnBegin#0,"""에너미의 출현을 확인했습니다.<br>연전이 되겠지만 각 대원 요격<br>부탁드립니다."""
NpcComOnEnemyDead#0,"""에너미 1체의 격파를 확인.<br>나머지는 앞으로 1체입니다."""
NpcComOnSuccess#0,"""수고하셨습니다.<br>적절한 대처에 감사합니다."""
NpcComOnPreBegin_Other#0,"""냐우 철수……아니!<br>철수 영향으로 공간에 왜곡 발생<br>주의해주세요!"""
NpcComOnBegin_Other#0,"""에너미의 출현을 확인했습니다.<br>연전이 되겠지만 각 대원 요격<br>부탁드립니다."""
NpcComOnEnemyDead_Other#0,"""에너미 1체의 격파를 확인.<br>나머지는 앞으로 1체입니다."""
NpcComOnSuccess_Other#0,"""수고하셨습니다.<br>적절한 대처에 감사합니다."""
NpcComOnPreBegin_Darker#0,"""냐우 철수……아니!<br>철수 영향으로 공간에 왜곡 발생<br>주의해주세요!"""
NpcComOnBegin_Darker#0,"""에너미의 출현을 확인했습니다.<br>연전이 되겠지만 각 대원 요격<br>부탁드립니다."""
NpcComOnEnemyDead_Darker#0,"""에너미 1체의 격파를 확인.<br>나머지는 앞으로 1체입니다."""
NpcComOnSuccess_Darker#0,"""수고하셨습니다.<br>적절한 대처에 감사합니다."""
NpcComOnPreBegin#1,"""냐우의 도망을 확인……음?<br>도망의 영향으로 인한 공간 왜곡 감지.<br>뭔가 온다. 주의해라!"""
NpcComOnBegin#1,"""칫, 성가신 에너미가 나타난 듯하다.<br>각 대원 전투태세. 목표를 격퇴하라."""
NpcComOnEnemyDead#1,"""에너미의 격파를 확인했다.<br>남은 건 앞으로 1체다."""
NpcComOnSuccess#1,"""반응 소실.<br>갑작스런 내습이었지만 잘해줬다."""
NpcComOnPreBegin_Other#1,"""냐우의 도망을 확인……음?<br>도망의 영향으로 인한 공간 왜곡 감지.<br>뭔가 온다. 주의해라!"""
NpcComOnBegin_Other#1,"""칫, 성가신 에너미가 나타난 듯하다.<br>각 대원 전투태세. 목표를 격퇴하라."""
NpcComOnEnemyDead_Other#1,"""에너미의 격파를 확인했다.<br>남은 건 앞으로 1체다."""
NpcComOnSuccess_Other#1,"""반응 소실.<br>갑작스런 내습이었지만 잘해줬다."""
NpcComOnPreBegin_Darker#1,"""냐우의 도망을 확인……음?<br>도망의 영향으로 인한 공간 왜곡 감지.<br>뭔가 온다. 주의해라!"""
NpcComOnBegin_Darker#1,"""칫, 성가신 에너미가 나타난 듯하다.<br>각 대원 전투태세. 목표를 격퇴하라."""
NpcComOnEnemyDead_Darker#1,"""에너미의 격파를 확인했다.<br>남은 건 앞으로 1체다."""
NpcComOnSuccess_Darker#1,"""반응 소실.<br>갑작스런 내습이었지만 잘해줬다."""
NpcComOnPreBegin#2,"""냐우가 도주……라니 어라랏?<br>도주의 영향으로 공간이<br>이상한 느낌……<br>조, 조심해주세요!"""
NpcComOnBegin#2,"""강력한 적분이 와버렸어요……<br>여러분 조금만 더 힘내세요!"""
NpcComOnEnemyDead#2,"""적분은 앞으로 1체에요!<br>힘내세요!"""
NpcComOnSuccess#2,"""됐어! 됐어! 해냈어요!<br>이제 적분들의 반응은 없어요!<br>여러분 수고하셨습니다!"""
NpcComOnPreBegin_Other#2,"""냐우가 도주……라니 어라랏?<br>도주의 영향으로 공간이<br>이상한 느낌……<br>조, 조심해주세요!"""
NpcComOnBegin_Other#2,"""강력한 적분이 와버렸어요……<br>여러분 조금만 더 힘내세요!"""
NpcComOnEnemyDead_Other#2,"""적분은 앞으로 1체에요!<br>힘내세요!"""
NpcComOnSuccess_Other#2,"""됐어! 됐어! 해냈어요!<br>이제 적분들의 반응은 없어요!<br>여러분 수고하셨습니다!"""
NpcComOnPreBegin_Darker#2,"""냐우가 도주……라니 어라랏?<br>도주의 영향으로 공간이<br>이상한 느낌……<br>조, 조심해주세요!"""
NpcComOnBegin_Darker#2,"""강력한 적분이 와버렸어요……<br>여러분 조금만 더 힘내세요!"""
NpcComOnEnemyDead_Darker#2,"""적분은 앞으로 1체에요!<br>힘내세요!"""
NpcComOnSuccess_Darker#2,"""됐어! 됐어! 해냈어요!<br>이제 적분들의 반응은 없어요!<br>여러분 수고하셨습니다!"""
NpcComOnPreBegin#3,"""냐우의 철수를 확인……。<br>철수 영향으로 인한 공간 왜곡 감지.<br>……새로운 적성 반응이 옵니다."""
NpcComOnBegin#3,"""긴급 통신.<br>출현한 적성 반응을 격퇴해주세요."""
NpcComOnEnemyDead#3,"""남아있는 적성 반응은 1체.<br>격퇴를 부탁드립니다."""
NpcComOnSuccess#3,"""적성 반응 완전 소실.<br>돌발현상의 대응 훌륭했습니다."""
NpcComOnPreBegin_Other#3,"""냐우의 철수를 확인……。<br>철수 영향으로 인한 공간 왜곡 감지.<br>……새로운 적성 반응이 옵니다."""
NpcComOnBegin_Other#3,"""긴급 통신.<br>출현한 적성 반응을 격퇴해주세요."""
NpcComOnEnemyDead_Other#3,"""남아있는 적성 반응은 1체.<br>격퇴를 부탁드립니다."""
NpcComOnSuccess_Other#3,"""적성 반응 완전 소실.<br>돌발현상의 대응 훌륭했습니다."""
NpcComOnPreBegin_Darker#3,"""냐우의 철수를 확인……。<br>철수 영향으로 인한 공간 왜곡 감지.<br>……새로운 적성 반응이 옵니다."""
NpcComOnBegin_Darker#3,"""긴급 통신.<br>출현한 적성 반응을 격파해주세요."""
NpcComOnEnemyDead_Darker#3,"""남아있는 적성 반응은 1체.<br>격퇴를 부탁드립니다."""
NpcComOnSuccess_Darker#3,"""적성 반응 완전 소실.<br>돌발현상의 대응 훌륭했습니다."""
NpcComOnPreBegin#4,"""냐우는 도망친 것 같지만……<br>공간에 왜곡이 발생했어요.<br>뭔가 나올거에요!"""
NpcComOnBegin#4,"""새로운 에너미의 출현을 확인.<br>요격을 부탁드립니다!"""
NpcComOnEnemyDead#4,"""에너미 격파 확인했습니다.<br>남은건 앞으로 1체입니다.<br>힘내보죠!"""
NpcComOnSuccess#4,"""여러분들 덕분에 요격 완료!<br>연전 수고하셨습니다!"""
NpcComOnPreBegin_Other#4,"""냐우는 도망친 것 같지만……<br>공간에 왜곡이 발생했어요.<br>뭔가 나올거에요!"""
NpcComOnBegin_Other#4,"""새로운 에너미의 출현을 확인.<br>요격을 부탁드립니다!"""
NpcComOnEnemyDead_Other#4,"""에너미 격파 확인했습니다.<br>남은건 앞으로 1체입니다.<br>힘내보죠!"""
NpcComOnSuccess_Other#4,"""여러분들 덕분에 요격 완료!<br>연전 수고하셨습니다!"""
NpcComOnPreBegin_Darker#4,"""냐우는 도망친 것 같지만……<br>공간에 왜곡이 발생했어요.<br>뭔가 나올거에요!"""
NpcComOnBegin_Darker#4,"""새로운 에너미의 출현을 확인.<br>요격을 부탁드립니다!"""
NpcComOnEnemyDead_Darker#4,"""에너미 격파 확인했습니다.<br>남은건 앞으로 1체입니다.<br>힘내보죠!"""
NpcComOnSuccess_Darker#4,"""여러분들 덕분에 요격 완료!<br>연전 수고하셨습니다!"""
NpcComOnPreBegin#5,"""냐우는 도망친 것 같지만……<br>공간에 왜곡이 발생했어요.<br>뭔가 나올거에요!"""
NpcComOnBegin#5,"""새로운 에너미의 출현을 확인.<br>요격을 부탁드립니다!"""
NpcComOnEnemyDead#5,"""에너미 격파 확인했습니다.<br>남은건 앞으로 1체입니다.<br>힘내보죠!"""
NpcComOnSuccess#5,"""여러분들 덕분에 요격 완료!<br>연전 수고하셨습니다!"""
NpcComOnPreBegin_Other#5,"""냐우는 도망친 것 같지만……<br>공간에 왜곡이 발생했어요.<br>뭔가 나올거에요!"""
NpcComOnBegin_Other#5,"""새로운 에너미의 출현을 확인.<br>요격을 부탁드립니다!"""
NpcComOnEnemyDead_Other#5,"""에너미 격파 확인했습니다.<br>남은건 앞으로 1체입니다.<br>힘내보죠!"""
NpcComOnSuccess_Other#5,"""여러분들 덕분에 요격 완료!<br>연전 수고하셨습니다!"""
NpcComOnPreBegin_Darker#5,"""냐우는 도망친 것 같지만……<br>공간에 왜곡이 발생했어요.<br>뭔가 나올거에요!"""
NpcComOnBegin_Darker#5,"""새로운 에너미의 출현을 확인.<br>요격을 부탁드립니다!"""
NpcComOnEnemyDead_Darker#5,"""에너미 격파 확인했습니다.<br>남은건 앞으로 1체입니다.<br>힘내보죠!"""
NpcComOnSuccess_Darker#5,"""여러분들 덕분에 요격 완료!<br>연전 수고하셨습니다!"""
