IncidentName#0,"""나우라의 케이크 가게를 지켜라!"""
TrialBeginMsg#0,"""흩어진 상품 컨테이너를 지켜라!"""
TrialAbstract#0,"""흩어진 상품 컨테이너를 지켜라!"""
ToastOnSuccess#0,"""$(0)가 개점했습니다."""
ToastOnDestroy#0,"""상품 1개가 파괴됐습니다. 남은 수 $(0)개."""
ToastOnAllDestroy#0,"""모든 상품 컨테이너가 파괴됐습니다."""
OnBegin#0,"""/mn13 /ci5 5 t5 …세상엔 바보뿐이고,<br>도와줄 사람은 아무도 없어."""
OnDamage#0,"""/mn13 …상품이 부서져 버려.<br>…아까워, 아까워."""
OnDestroy#0,"""/mn13 …하나 부서졌어.<br>…상품도 산산조각 났겠지."""
OnAllDestroy#0,"""/ci5 3 t5 /mn13 …다시는 팔러 안 올 거야."""
OnSuccess#0,"""/ci1 1 t5 …됐으니까 케이크나 사 줘."""
OnBegin#1,"""/mn2 /toge /ci3 1 t5 으앗, 와아앗!<br>누가 좀 도와주세요!"""
OnDestroy#1,"""/toge /mn1 아앗… 부서져 버렸어요.<br>상품이 줄어들어요…"""
OnAllDestroy#1,"""/mn2 /ci4 3 t5 저, 전부… 전부 당했어요!<br>이러면 더는 가게를 열 수 없어요…"""
OnLastOne#0,"""/toge 으앗!<br>정신 차려 보니 상품이 하나뿐이에요!<br>큰일, 큰일이에요!"""
OnSuccess#1,"""/ci2 2 t5 휴… 살았어요."""
OnFailure#0,"""/mn23 /ci4 t5 슬픔을 안고 돌아갈게요…<br>흑, 흐윽."""
OnBegin#2,"""/mn2 /ci2 2 t5 우왓, 뭔가 엄청난 일이 벌어졌어!<br>누가 내 상품 좀 지켜 줘!"""
OnDestroy#2,"""/mn13 아차, 부서져 버렸네…<br>뭐가 들어 있었더라."""
OnAllDestroy#2,"""/mn22 /ci3 1 t5 다, 당했다!<br>상품도 없이 가게를<br>열 수 있을 리가 없잖아!"""
OnSuccess#2,"""/mn15 /ci2 1 t5 후, 고마워!<br>덕분에 살았어!"""
