IncidentName#0,"""$(0) 격파"""
TrialBeginMsg#0,"""적 $(0) 격파가 목표!<br>파트너가 2회 전투 불능이 되면 실패."""
TrialAbstract#0,"""적 $(0) 격파가 목표!<br>파트너가 2회 전투 불능이 되면 실패."""
NpcComOnBegin#0,"""구원하러 온 아크스와 협력해<br>적을 토벌해 주세요!"""
NpcComOnSuccess#0,"""/face2 수고하셨습니다!<br>연계와 호흡이 아주<br>잘 맞았던 것 같습니다!"""
NpcComOnFailure#0,"""이런 일도 있는 법입니다.<br>대상 아크스는 이쪽에서<br>회수하겠습니다."""
NpcComOnDownA#0,"""연계가 잘되지 않는 것 같습니다.<br>서로 협력하는 것을 잊지 마세요."""
NpcComOnDownB#0,"""대상 아크스에게 과도한 부담이<br>쌓이고 있습니다. 다음 실패 시에는<br>후퇴를 권고하겠습니다."""
NpcComOnBegin#1,"""구원이 온 모양이군.<br>협력해서 대상을 토벌해라.<br>이른바 공동 전선이다."""
NpcComOnSuccess#1,"""이심전심이란 이런 것이겠군.<br>서로 이득이 되는 공투였다."""
NpcComOnFailure#1,"""뭐, 이런 일도 있는 법이다.<br>회수는 이쪽에서 할 테니<br>걱정하지 마라."""
NpcComOnDownA#1,"""연계가 잘되지 않는군.<br>협력해야 한다는 걸 잊지 마라."""
NpcComOnDownB#1,"""대상 아크스의 부담이 크다.<br>다음 실패 시에는 후퇴를<br>제안하겠다. 괜찮겠지?"""
NpcComOnBegin#2,"""아크스는 모두 동료예요!<br>협력해서 힘내 봐요!"""
NpcComOnSuccess#2,"""/face2 수고하셨어요!<br>느낌 좋은 협력 관계였네요!"""
NpcComOnFailure#2,"""으음, 뭐, 흔히 있는 일이에요!<br>회수는 이쪽에서 할 테니<br>신경 쓰지 마세요!"""
NpcComOnDownA#2,"""으으음, 연계가 조금 아쉽네요...<br>조금만 더 협력해 보세요."""
NpcComOnDownB#2,"""상대 아크스의 부담이<br>조금 너무 크네요.<br>다음에는 후퇴할지도 몰라요...!"""
NpcComOnBegin#3,"""구원 인원의 도착을 확인했습니다.<br>협력해서 목표를 토벌하세요."""
NpcComOnSuccess#3,"""목표 토벌을 확인했습니다.<br>훌륭한 연계였습니다."""
NpcComOnFailure#3,"""구원 인원, 전투 불능.<br>이쪽에서 강제 회수합니다.<br>통상 임무로 돌아가 주세요."""
NpcComOnDownA#3,"""협력이 부족한 것 같습니다.<br>서로의 존재를 의식하며<br>임무를 수행해 주세요."""
NpcComOnDownB#3,"""대상 아크스의 부담이 크고<br>위험한 상태입니다. 다음 실패 시<br>강제 후퇴하게 됩니다."""
NpcComOnBegin#4,"""아군이 구원하러 왔습니다!<br>협력해서 적성 존재를 격퇴하죠!"""
NpcComOnSuccess#4,"""수고하셨습니다!<br>상대가 무엇이든 모두 협력하면<br>두려울 게 없네요!"""
NpcComOnFailure#4,"""대상 아크스는 이쪽에서 회수합니다!<br>이런 일도 있으니 기분을 전환하고<br>계속 가 보죠!"""
NpcComOnDownA#4,"""협력 중인 아크스의 부담이 큽니다!<br>잘 지원해 주세요!"""
NpcComOnDownB#4,"""협력 중인 아크스의 부담이 크고<br>위험하므로 다음 전투 불능 시<br>대상자를 강제로 회수하겠습니다!"""
