IncidentName#0,"""소멸! 매드 젤리"""
TrialBeginMsg#0,"""매드 젤리를 제거해<br>시간 안에 소멸 목표를 달성하라!"""
TrialAbstract#0,"""매드 젤리를 제거해<br>시간 안에 소멸 목표를 달성하라!"""
NpcComOnBegin#0,"""매드 젤리 반응을 확인!<br>시간이 지나면 4단계로 비대화하며<br>한계를 넘으면 폭발합니다!"""
NpcComOnAfterBegin#0,"""목표는 시간 안에 일정량 격파.<br>폭발을 막으려면 비대화한 개체부터<br>격파해 안전하게 소멸시켜 주세요."""
NpcComOnSuccess#0,"""/face2 목표 달성.<br>주변의 매드 젤리 소탕에<br>성공했습니다."""
NpcComOnFailure#0,"""/face4 시간 안에 일정량 격파 실패.<br>어쩔 수 없습니다…<br>통상 임무로 돌아가 주세요."""
NpcComOnDanger#0,"""발광하기 시작한 개체는<br>폭발 직전의 위험한 상태입니다.<br>최우선으로 격파해 소멸시켜 주세요."""
NpcComOnFirstExplode#0,"""매드 젤리의 폭발을 확인했습니다.<br>폭발 전에 격파하면 소멸할 때<br>아이템을 뱉어 내는 모양입니다."""
NpcComOnHalf#0,"""/face2 목표까지 이제 절반입니다.<br>또, 붉은 개체는 화염에 강하듯<br>몸 색깔마다 속성 내성이 있습니다."""
NpcComOnFinalNotice#0,"""남은 시간이 얼마 없습니다.<br>비대화한 개체일수록 격파 시<br>달성도 게이지가 더 많이 오릅니다."""
NpcComOnBegin#1,"""매드 젤리 군생지로군.<br>서서히 비대화하며<br>4단계에서 폭발하는 특성이 있다."""
NpcComOnAfterBegin#1,"""목표는 시간 안에 일정량 격파.<br>폭발을 막으려면 비대화한 개체부터<br>격파해 안전하게 소멸시켜라."""
NpcComOnSuccess#1,"""목표를 달성했다.<br>주변의 매드 젤리 소탕 성공.<br>잘 해냈다."""
NpcComOnFailure#1,"""시간 안에 일정량 격파 실패.<br>더 해도 소용없다.<br>통상 임무로 돌아가라."""
NpcComOnDanger#1,"""발광하기 시작한 개체는<br>폭발 직전의 위험한 상태다.<br>신속히 파괴해 소멸시켜라."""
NpcComOnFirstExplode#1,"""매드 젤리의 폭발을 확인했다.<br>폭발 전에 격파하면 소멸할 때<br>아이템을 뱉어 내는 모양이다."""
NpcComOnHalf#1,"""목표의 절반을 달성했다.<br>몸 색깔마다 속성 내성이 있다.<br>주의해서 소멸시켜라."""
NpcComOnFinalNotice#1,"""남은 시간이 얼마 없다.<br>비대화한 개체일수록 달성도가<br>높다. 우선해서 노려라."""
NpcComOnBegin#2,"""미끈한 녀석들이 떨어지고 있어요!<br>내버려 두면 부풀다가<br>폭발하니 조심해 주세요."""
NpcComOnAfterBegin#2,"""시간 안에 잔뜩 없애 주세요!<br>폭발하니까 먼저<br>부푼 녀석을 노려 주세요!"""
NpcComOnSuccess#2,"""/face2 목표를 달성했습니다!<br>잔뜩 소멸시킬 수 있었네요.<br>수고하셨습니다!"""
NpcComOnFailure#2,"""/face4 더는 떨어지지 않네요.<br>실패한 모양이에요."""
NpcComOnDanger#2,"""빛나는 녀석이 있어요!<br>더 커지면<br>폭발합니다!\u3000조심하세요!"""
NpcComOnFirstExplode#2,"""와앗, 폭발했어요!<br>힘내세요. 잘 없애면<br>아이템을 떨어뜨립니다."""
NpcComOnHalf#2,"""/face2 좋은 느낌이에요.<br>하지만 몸 색깔에 맞는 속성 공격은<br>잘 듣지 않는 모양이에요."""
NpcComOnFinalNotice#2,"""이제 곧 나오지 않을지도…!<br>부푼 녀석일수록<br>포인트가 높아요."""
