IncidentName#0,"""폭주 비스볼트를 회피하라!"""
TrialBeginMsg#0,"""폭주 비스볼트의 공격을 회피하라."""
TrialAbstract#0,"""폭주 비스볼트를 계속 회피하라."""
TrialLightningStrike#0,"""$(0)이 낙뢰에 맞았다. 총 피격 $(1)/$(2)회."""
NpcComOnBegin#0,"""폭주 비스볼트의 발생을 확인했습니다!<br>피아를 가리지 않는 공격이 예상됩니다!<br>포착되면 무리하지 말고 회피하세요!"""
NpcComOnSuccess#0,"""/face2 폭주 비스볼트 소멸을 확인했습니다!<br>피해를 최소한으로 억제했습니다.<br>훌륭합니다!"""
NpcComOnFailure#0,"""/face4 폭주 비스볼트는<br>소멸했지만... 피해가 막심합니다.<br>너무 무리하지 마세요."""
NpcComOnHitOtherPlayer#0,"""괜찮으세요!?<br>폭발 직전에 반응이 변합니다.<br>타이밍을 맞춰 회피하세요!"""
NpcComOnLightningStrike#0,"""괜찮으세요!?<br>폭발 직전에 반응이 변합니다.<br>타이밍을 맞춰 회피하세요!"""
NpcComOn60SecondLeft#0,"""폭주 비스볼트 소멸까지 1분 남았습니다!<br>어떻게든 회피해 주세요!"""
NpcComOn30SecondLeft#0,"""폭주 비스볼트 소멸까지<br>얼마 남지 않았습니다!"""
