IncidentName#0,"""$(0) 격파하기!"""
TrialBeginMsg#0,"""긴급 지령! 새로 나타난<br>$(0) 격파하기!"""
TrialAbstract#0,"""새로 나타난<br>$(0) 격파하기!"""
NpcComOnPreBegin#0,"""$(0)의 격퇴를<br>확인했습니다!\u3000수고하셨습니다!<br>…네?\u3000이 거대한 반응은!?"""
NpcComOnBegin#0,"""긴급 연락입니다!<br>새로운 $(0)을<br>확인했습니다!\u3000접근을 눈치채지 못했다니…!\u3000"""
NpcComOnSuccess#0,"""/face2 $(0)을<br>완전히 격퇴했습니다!<br>여러분의 협력에 감사드립니다!"""
NpcComOnPreBegin#1,"""$(0) 토벌을 확인했다.<br>후, 일단락됐군…<br>…아니, 잠깐! 이 반응은 뭐지!"""
NpcComOnBegin#1,"""긴급 지령이다. 새로운<br>$(0)이 출현했다!<br>이렇게 가까이 올 때까지 몰랐다니…!"""
NpcComOnSuccess#1,"""$(0) 토벌을<br>확인했다. 모두의 협력에 감사한다."""
NpcComOnPreBegin#2,"""/face2 해냈네요!<br>$(0), 격파!<br>…어라?\u3000이 반응, 엄청 커요!"""
NpcComOnBegin#2,"""와앗, 우와앗!<br>$(0)!?<br>새로운 적!?\u3000언제 이렇게 가까이!?"""
NpcComOnSuccess#2,"""/face2 어, 어떻게든<br>$(0) 격퇴에<br>성공했네요. 수고하셨어요!"""
NpcComOnPreBegin#3,"""$(0) 격파 확인.<br>…하지만 다른 반응이<br>접근하고 있습니다."""
NpcComOnBegin#3,"""긴급 지령 발령.<br>출현한 $(0)을<br>격파해 주세요."""
NpcComOnSuccess#3,"""긴급 지령 달성을 확인.<br>$(0)의 반응은<br>소멸했습니다."""
NpcComOnPreBegin#4,"""$(0) 격퇴 확인!<br>…하지만 어쩐지 좀 더<br>이어질 것 같은데요!"""
NpcComOnBegin#4,"""긴급 연락!<br>$(0)의 반응을 확인!<br>연전입니다. 조심하세요!"""
NpcComOnSuccess#4,"""$(0)을<br>격퇴했습니다. 수고하셨어요!<br>잘 끝나서 다행이네요!"""
NpcComOnPreBegin#5,"""$(0) 격퇴 확인!<br>…하지만 어쩐지 좀 더<br>이어질 것 같은데요!"""
NpcComOnBegin#5,"""긴급 연락!<br>$(0)의 반응을 확인!<br>연전입니다. 조심하세요!"""
NpcComOnSuccess#5,"""$(0)을<br>격퇴했습니다. 수고하셨어요!<br>잘 끝나서 다행이네요!"""
