IncidentName#0,"""비스볼트를 회피하라!"""
TrialBeginMsg#0,"""ヴィスボルトの攻撃を回避し続けろ。<br>$(0)回以上被雷したら失敗。"""
TrialAbstract#0,"""ヴィスボルトの攻撃を回避し続けろ。"""
TrialLightningStrike#0,"""$(0)が被雷した。総被雷数$(1)回。"""
TrialDarkerKilledInfo#0,"""ヴィスボルトの規模抑制まで、あと$(0)体。"""
TrialDegradationInfo#0,"""ヴィスボルトの規模が抑制された！"""
NpcComOnBegin#0,"""緊急指令！ ヴィスボルトの発生を<br>確認しました。ダーカーの干渉による<br>天候兵器です！ 回避してください！"""
NpcComOnSuccess#0,"""/face2 ヴィスボルトの停止確認！<br>被害は最小限に抑えられました。<br>よかった……"""
NpcComOnFailure#0,"""/face4 ヴィスボルトの発生は止めましたが……<br>被害は甚大です。通常任務に<br>戻りますが、無理はしないように。"""
NpcComOnBeginTrial#0,"""ヴィスボルトの発生時間には限りが<br>あります。被害を抑えるためにも<br>なんとか回避しつづけてください！"""
NpcComOnLightningStrike#0,"""ヴィスボルト発生の干渉源が<br>付近にいるようです。殲滅できれば<br>発生規模を抑制できます！"""
NpcComOnOneLife#0,"""これ以上、ヴィスボルトを<br>受けるのは危険です！<br>残り時間、何とか回避してください！"""
NpcComOnBegin#1,"""緊急連絡です！<br>ヴィスボルトの発生を確認しました！<br>回避してください！"""
NpcComOnSuccess#1,"""ヴィスボルトの停止を確認しました！<br>被害を最小限に抑えられたみたいです。<br>수고하셨습니다!"""
NpcComOnFailure#1,"""ヴィスボルトの停止を確認しました。<br>しかし、被害は甚大のようです……<br>あまり無理しないでくださいね。"""
NpcComOnBeginTrial#1,"""ヴィスボルトの発生時間には<br>限りがあります！<br>頑張って回避してください！"""
NpcComOnLightningStrike#1,"""ヴィスボルト発生の干渉源を観測！<br>撃破し、発生規模を抑制してください！"""
NpcComOnOneLife#1,"""これ以上、ヴィスボルトの<br>ダメージを受けるのは危険です！<br>注意してください！"""
