IncidentName#0,"""$(0) 격퇴하기!"""
TrialBeginMsg#0,"""$(0)을 $(1)마리 격퇴하라!"""
TrialAbstract#0,"""갑자기 나타난 $(0)을 격퇴하라!"""
NpcComOnPreBegin#0,"""새로운 열원 반응이 접근 중!<br>주의하세요. 옵니다!"""
NpcComOnBegin#0,"""저건 랍피…일까요?<br>적의는 없어 보이지만 혼란을 막기 위해<br>격퇴해 주세요."""
NpcComOnSuccess#0,"""혼란을 막기 위해서라지만…<br>조금 불쌍한 느낌도 드네요.<br>여러분의 협력에 감사드립니다."""
NpcComOnPreBegin#1,"""이건 새로운 열원 반응이군.<br>방심하지 마라. 상당히 크다."""
NpcComOnBegin#1,"""또 이상한 녀석이 나타났지만…<br>내버려 둘 수도 없군.<br>각 대원은 격퇴해라!"""
NpcComOnSuccess#1,"""돌아간 모양이군.<br>이걸로 질렸으면 좋겠는데…<br>어쨌든 협력에 감사한다."""
NpcComOnPreBegin#2,"""이 열원 반응은 비정상적입니다!<br>정말 조심해 주세요!"""
NpcComOnBegin#2,"""와앗!\u3000커다란 녀석이 나타났어요!<br>귀엽지만 여기는 위험하니<br>물러나게 하죠."""
NpcComOnSuccess#2,"""조금 불쌍한 느낌도 들지만<br>서로를 위해서니까요…<br>여러분, 수고하셨습니다!"""
NpcComOnPreBegin#3,"""주변 경계를 강화해 주세요.<br>새로운 반응이 감지됐습니다."""
NpcComOnBegin#3,"""거대한 반응의 출현을 확인.<br>적대 행동은 보이지 않지만<br>혼란을 막기 위해 격퇴해 주세요."""
NpcComOnSuccess#3,"""거대 반응의 철수를 확인.<br>여러분의 적절한 대응에 감사드립니다."""
NpcComOnPreBegin#4,"""주변을 경계해 주세요!<br>수상한 반응이 있습니다!"""
NpcComOnBegin#4,"""우와… 뭔가 굉장한 녀석이…<br>적의는 없어 보이지만 위험하니<br>격퇴해 버리죠!"""
NpcComOnSuccess#4,"""무엇을 하러 왔는지는 모르겠지만…<br>임무 중이 아닐 때 만나고 싶었네요.<br>아무튼 수고하셨습니다!"""
NpcComOnPreBegin#5,"""주변을 경계해 주세요!<br>수상한 반응이 있습니다!"""
NpcComOnBegin#5,"""우와… 뭔가 굉장한 녀석이…<br>적의는 없어 보이지만 위험하니<br>격퇴해 버리죠!"""
NpcComOnSuccess#5,"""무엇을 하러 왔는지는 모르겠지만…<br>임무 중이 아닐 때 만나고 싶었네요.<br>아무튼 수고하셨습니다!"""
