IncidentName#0,"""투신 오덜 토멸전"""
TrialBeginMsg#0,"""$(0) 토벌하기!"""
TrialAbstract#0,"""$(0) 토벌하기!"""
NpcComOnBegin#0,"""緊急通達。<br>強力な敵性反応を確認<br>신속한 격파를 부탁드립니다."""
NpcComOnSuccess#0,"""적성 반응이 소실됐습니다<br>다들 노력해주셔서 감사합니다."""
NpcComOnFailure#0,"""/face4 교전중인 대원의 반응이 소실됐습니다.<br>즉시 캠프 쉽으로 돌아가는<br>돌아가도록 하겠습니다."""
HP_Under_50#0,"""$(0) 남은 체력 저하!"""
HP_Under_10#0,"""$(0) 체력이 얼마 남지 않았습니다!"""
NpcComLastEnemy#0,"""남은 적 이제 하나!"""
NpcComOnBegin#1,"""緊急通達だ。<br>強力な敵性反応が確認された。<br>早急に撃破しろ。"""
NpcComOnSuccess#1,"""敵性反応の消失を確認。<br>よくやったな。"""
NpcComOnFailure#1,"""ちっ、こちらがやられたか……<br>キャンプシップへの転送を行う。"""
HP_Under_50#1,"""$(0) 남은 체력 저하!"""
HP_Under_10#1,"""$(0)残存体力、あとわずかだ！"""
NpcComLastEnemy#1,"""残り一体だ！ 気を抜くな！"""
NpcComOnBegin#2,"""기, 긴급연락입니다!<br>강력한 적의 반응을 확인!<br>서둘러 격파해 주세요!"""
NpcComOnSuccess#2,"""/face2 적의 반응 소실!<br>여러분 수고하셨습니다!"""
NpcComOnFailure#2,"""/face6 아아아… 교전 중인 아크스<br>당해버렸어요……<br>캠프쉽으로 전송할게요……"""
HP_Under_50#2,"""$(0)残 남은 체력이 저하됐어요!"""
HP_Under_10#2,"""$(0) 체력이 조금밖에 안남았어요!"""
NpcComLastEnemy#2,"""/face2 앞으로 하나! 앞으로 하나!"""
NpcComOnBegin#3,"""緊急通達。<br>強力な敵性存在の反応を感知。<br>迅速な対応を望みます。"""
NpcComOnSuccess#3,"""적성 반응 소실.<br>任務完了を確認しました。"""
NpcComOnFailure#3,"""継続戦闘、不可。<br>キャンプシップに強制転送します。"""
HP_Under_50#3,"""$(0)残存体力、低下。"""
HP_Under_10#3,"""$(0)残存体力、あとわずかです。"""
NpcComLastEnemy#3,"""残りの敵性存在は一体です。"""
NpcComOnBegin#4,"""緊急通達です！<br>強力な敵性反応を確認しました！<br>急ぎ、対処をお願いします！"""
NpcComOnSuccess#4,"""적성 반응 소실 확인!<br>流石ですね、ありがとうございます！"""
NpcComOnFailure#4,"""これ以上の交戦継続はマズいです！<br>回収させてもらいますよ！"""
HP_Under_50#4,"""$(0)残存体力、低下しました！"""
HP_Under_10#4,"""$(0) 체력이 얼마 남지 않았습니다!"""
NpcComLastEnemy#4,"""남은 적 이제 하나!"""
