IncidentName#0,"""격리 상황을 타파하라!"""
TrialBeginMsg#0,"""외적 $(0)마리를 쓰러뜨려 격리를 풀어라!"""
TrialAbstract#0,"""외적 $(0)마리를 쓰러뜨려 격리를 풀어라!"""
NpcComOnBegin#0,"""격리용 함정…입니까.<br>복귀용 캐터펄트를 전송합니다.<br>외적을 제거해 주세요."""
NpcComOnSuccess#0,"""/face2 적 세력 제거를 확인.<br>캐터펄트를 전송합니다.<br>앞으로 나아가 주세요."""
NpcComOnFailure#0,"""/face4 함정의 목적은 시간 끌기…군요.<br>목적은 달성된 모양입니다.<br>탈출해서 서둘러 나아가 주세요."""
NpcComOnBegin#1,"""격리용 함정인가?\u3000잔꾀를 부리는군.<br>각 대원은 격리 섬의 외적을 소탕해라.<br>이후 탈출 장비를 전송하겠다."""
NpcComOnSuccess#1,"""좋아, 적 소탕을 확인했다.<br>탈출해서 앞으로 나아가라."""
NpcComOnFailure#1,"""칫, 목적은 발을 묶는 거였나.<br>캐터펄트를 보낸다. 서둘러라."""
NpcComOnBegin#2,"""와앗, 함정, 함정이에요!<br>탈출 장치를 보내려면<br>먼저 적을 쓰러뜨려 주세요!"""
NpcComOnSuccess#2,"""/face2 캐터펄트를 전송합니다!<br>앞으로 나아가 주세요!"""
NpcComOnFailure#2,"""/face4 으으… 이 함정의 목적은<br>시간 끌기였던 모양이에요…<br>서둘러 나아가 주세요!"""
