IncidentName#0,"""리리파족에게 보내는 전언"""
TrialBeginMsg#0,"""로비 액션으로 리리파족의 전언을 전하라!"""
TrialAbstract#0,"""로비 액션으로 리리파족의 전언을 전하라!"""
ToastOnEnableGestureRange#0,"""로비 액션을 사용해 전언을 전하라!"""
NpcComOnBegin#0,"""어라?\u3000리리파족이 전언을<br>부탁하려는 모양이에요.<br>무엇을 전하고 싶은 걸까요...?"""
NpcComOnSuccess#0,"""/face2 전언이 전해진 모양이에요!<br>휴, 이걸로 리리파족과도<br>친해진 느낌이네요!"""
NpcComOnFailure#0,"""/face4 아앗, 돌아가 버렸나요?<br>잘 전해지지 않은 걸까요...<br>어쩔 수 없으니 임무로 돌아가죠."""
NpcComOnDwarfGestureA#0,"""동료에게 전할 말일까요?<br>앗, 저 움직임과 같은 제스처를<br>보여주면 전해질지도 몰라요!"""
NpcComOnDwarfGestureB#0,"""으음?\u3000이 리리파족도<br>무언가 전하고 싶은 모양이에요.<br>제스처에 주목하세요!"""
NpcComOnAppearDwarfA#0,"""리리파족의 동료를 발견했어요!<br>하지만 적을 무서워하고 있으니<br>주변의 안전을 확보해 주세요!"""
NpcComOnAppearDwarfB#0,"""리리파족의 동료 발견이에요!<br>이번에는 적도 없어서 안전해요!<br>자, 전언을 전해 줘야죠!"""
NpcComOnEnableGesture#0,"""자, 전언을 전해 봐요!<br>로비 액션으로 같은 제스처를<br>보여주는 거예요!"""
NpcComOnDisableGesture#0,"""겁에 질려 이쪽을 보지 않아요!<br>먼저 주변의 에너미를<br>쓰러뜨려 주세요!"""
NpcComOnGestureOK#0,"""/face2 잘 전해진 모양이네요!<br>리리파족도 기뻐하고 있어요!"""
NpcComOnGestureNG#0,"""어라... 어쩐지 제대로<br>전해지지 않은 것 같은데...<br>다른 제스처를 해 보죠."""
NpcComOnHintKiss#0,"""/face2 누군가에게 애정을 표현하는<br>것처럼 보여요."""
NpcComOnHintYes#0,"""/face2 납득한 듯 고개를 끄덕이는<br>것처럼 보여요."""
NpcComOnHintThanks#0,"""/face2 누군가에게 감사를 전하는<br>것처럼 보여요."""
NpcComOnHintSorry#0,"""/face2 열심히 사과하고 있는<br>것처럼 보여요."""
NpcComOnHintClap#0,"""/face2 축하한다며 박수치는<br>것처럼 보여요."""
NpcComOnHintEncourage#0,"""/face2 잘 지내냐고\u3000격려하는<br>것처럼 보여요."""
NpcComOnHintYell#0,"""/face2 누군가를 응원하고 있는<br>것처럼 보여요."""
NpcComOnHintHeat#0,"""/face2 기합을 넣고 있는<br>것처럼 보여요."""
