IncidentName#0,"""$(0) 섬멸 작전"""
TrialBeginMsg#0,"""$(0)을 공격하고 양동하라!"""
TrialAbstract#0,"""$(0)을 공격하고 양동하라!"""
NpcComOnBegin#0,"""***"""
NpcComOnBegin_2#0,"""***"""
NpcComOnBegin_3#0,"""***"""
NpcComOnTargetPlayerFirstTime#0,"""***"""
NpcComOnHelpBattery#0,"""***"""
NpcComOnHelpBattery_2#0,"""***"""
NpcComOnBatteryAttack#0,"""***"""
NpcComOnBossDown#0,"""***"""
NpcComOnBatteryBreak1_1#0,"""***"""
NpcComOnBatteryStart2#0,"""***"""
NpcComOnBatteryBreak2_1#0,"""***"""
NpcComOnBatteryStart3#0,"""***"""
NpcComOnBatteryBreak3_1#0,"""***"""
NpcComOnEmergency#0,"""***"""
NpcComOnChangeModeSt#0,"""***"""
NpcComOnChangeModeAs#0,"""***"""
NpcComOnChangeModeAs_2#0,"""***"""
NpcComOnLose_1#0,"""***"""
NpcComOnLose_2#0,"""***"""
NpcComOnWin_1#0,"""***"""
NpcComOnWin_2#0,"""***"""
NpcComOnSuccess#0,"""***"""
NpcComOnBegin#1,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 개시시1"""
NpcComOnBegin_2#1,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 개시시2"""
NpcComOnBegin_3#1,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 개시시3"""
NpcComOnBegin_4#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 개시시4"""
NpcComOnBegin40Sec_1#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 개시 40초 후1"""
NpcComOnBegin40Sec_2#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 개시 40초 후2"""
NpcComOnTargetPlayerFirstTime#1,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 적 공격이 플레이어로 향했다"""
NpcComOnHelpBattery_1#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대 설명1"""
NpcComOnHelpBattery_2#1,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대 설명2"""
NpcComOnHelpBattery_3#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대 설명3"""
NpcComOnHelpBattery_4#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대 설명4"""
