IncidentName#0,"""희소 에너미 토벌"""
TrialBeginMsg#0,"""희소 에너미 격퇴하기!"""
TrialAbstract#0,"""희소 에너미 격퇴하기!"""
TargetName#0,"""도벌 대상 전부"""
NpcComOnPreBegin#0,"""목표 달성을 확인… 아니,<br>다른 적성 반응을 확인했습니다.<br>주변을 경계해 주세요."""
NpcComOnBegin#0,"""희귀종의 반응을 확인했습니다.<br>각 대원은 대응해 주세요."""
NpcComOnSuccess#0,"""수고하셨습니다.<br>신속한 대응에 감사드립니다."""
NpcComOnPreBegin#1,"""목표 달성을 확인했다… 아니, 잠깐.<br>아직 주변에 반응이 있다.<br>경계를 늦추지 마라."""
NpcComOnBegin#1,"""희귀종 에너미인 모양이군…<br>각 대원은 신속히 대응해라."""
NpcComOnSuccess#1,"""반응, 완전히 소멸.<br>기습이었지만 잘 해냈다."""
NpcComOnPreBegin#2,"""목표 달성 확인… 어라라?<br>적의 반응이 더 있는 것 같은데…<br>주의, 주의! 조심해 주세요!"""
NpcComOnBegin#2,"""으음, 희귀한 적까지<br>나타난 모양이네요!<br>대응을 부탁드려요!"""
NpcComOnSuccess#2,"""별일도 다 있네요.<br>어쨌든 수고하셨어요!"""
NpcComOnPreBegin#3,"""목표 달성을 확인… 아니,<br>추가 적성 반응을 감지.<br>바로 근처입니다. 경계를."""
NpcComOnBegin#3,"""데이터에 따르면 새로 출현한<br>적성 존재는 희귀종입니다.<br>적절히 대응해 주세요."""
NpcComOnSuccess#3,"""적성 존재의 반응, 완전히 소멸.<br>기습이었지만 훌륭한 대응이었습니다."""
NpcComOnPreBegin#4,"""목표 달성 확인… 응, 어라?<br>어쩐지 이상한 반응이 있습니다.<br>주의해 주시겠어요?"""
NpcComOnBegin#4,"""앗!\u3000이건 희귀종의 반응이군요!<br>대응해 주세요!"""
NpcComOnSuccess#4,"""수고하셨습니다!<br>덕분에 새로운 데이터를<br>수집할 수 있었습니다!"""
NpcComOnPreBegin#5,"""목표 달성 확인… 응, 어라?<br>어쩐지 이상한 반응이 있습니다.<br>주의해 주시겠어요?"""
NpcComOnBegin#5,"""앗!\u3000이건 희귀종의 반응이군요!<br>대응해 주세요!"""
NpcComOnSuccess#5,"""수고하셨습니다!<br>덕분에 새로운 데이터를<br>수집할 수 있었습니다!"""
