IncidentName#0,"""판다지 비트를 파괴하라"""
TrialBeginMsg#0,"""제한 시간 안에 판다지 비트를 모두 파괴하라"""
TrialAbstract#0,"""제한 시간 안에 판다지 비트를 모두 파괴하라"""
NpcComOnPreBegin#0,"""……기다려 주세요.<br>뭔가 상태가 이상합니다."""
NpcComOnBegin#0,"""판다지 비트 출현<br>서둘러 파괴하여 주변 에너미에 대한<br>영향을 억제해주세요."""
NpcComOnSuccess#0,"""판다지 비트의 파괴를 확인.<br>각 대원의 협력에 감사드립니다."""
NpcComOnFailure#0,"""판다지 비트의 반응 소실<br>놓쳐버린 듯 싶습니다.<br>통상 임무로 돌아가주세요."""
NpcComOnRemainTimeNotice#0,"""제한 시간에 여유가 없습니다!<br>어서 빨리 파괴해주세요!"""
NpcComOnLastOne#0,"""판다지 비트의 반응<br>앞으로 하나입니다!"""
NpcComOnPreBegin#1,"""목표 격파를 확인……<br>……아니 기다려.<br>상황이 이상하다."""
NpcComOnBegin#1,"""판다지 비트가 출현했다!<br>서둘러 파괴하여 주변 에너미에 대한<br>영향을 억제해라!"""
NpcComOnSuccess#1,"""판다지 비트의 파괴를 확인.<br>통상 임무로 복귀하라."""
NpcComOnFailure#1,"""판다지 비트의 반응 소실.<br>놓쳐버린 듯 하군.<br>어쩔 수 없군 통상 임무로 돌아가라."""
NpcComOnRemainTimeNotice#1,"""제한 시간이 얼마 없다!<br>서둘러 파괴해라!"""
NpcComOnLastOne#1,"""판다지 비트의 반응<br>앞으로 하나다!"""
NpcComOnPreBegin#2,"""어라라……？<br>뭔가 상태가 이상해요."""
NpcComOnBegin#2,"""판다지 비트 출현입니다!<br>다른 에너미가 영향을 받아버려요!<br>시급히 파괴해주세요!"""
NpcComOnSuccess#2,"""됐다! 됐다! 해냈어요!<br>판다지 비트의 파괴 확인!<br>여러분 수고하셨습니다!"""
NpcComOnFailure#2,"""판다지 비트 반응 없음.<br>아무래도 도망친 것 같아요.<br>통상 임무로 돌아가주세요."""
NpcComOnRemainTimeNotice#2,"""서둘러 주세요!<br>시간이 끝나버릴 거에요!"""
NpcComOnLastOne#2,"""판다지 비트의 반응은<br>앞으로 하나에요!<br>힘내주세요-!"""
NpcComOnPreBegin#3,"""……이상 반응을 계측.<br>경계를 늦추지 말아주세요."""
NpcComOnBegin#3,"""판다지 비트의 출현을 확인.<br>주변 에너미에게 영향 있음.<br>조속한 대처를 요구합니다."""
NpcComOnSuccess#3,"""판다지 비트 파괴 확인.<br>돌발 현상에 대한 대응 훌륭했습니다."""
NpcComOnFailure#3,"""판다지 비트 반응 소실<br>파괴 실패입니다.<br>통상 임무로 돌아가주세요."""
NpcComOnRemainTimeNotice#3,"""제한 시간 얼마 없음.<br>어서 파괴해주세요."""
NpcComOnLastOne#3,"""판다지 비트 남은 수 하나。<br>계속 공격해주세요."""
NpcComOnPreBegin#4,"""새로운 적성 반응을 감지했습니다!<br>조심해주세요!"""
NpcComOnBegin#4,"""판다지 비트의 출현을 확인!<br>주변의 에너미에게 영향이 생깁니다!<br>서둘러 파괴해주세요!"""
NpcComOnSuccess#4,"""판다지 비트의 파괴를 확인!<br>수고하셨습니다!"""
NpcComOnFailure#4,"""판다지 비트의 반응 소실!<br>……도망쳐 버린 것 같아요.<br>통상 임무로 돌아가주세요."""
NpcComOnRemainTimeNotice#4,"""시간이 없어요!<br>어서 빨리 파괴해주세요!"""
NpcComOnLastOne#4,"""판다지 비트의<br>반응은 하나 남았습니다!<br>초조해 하지 말고 대응해주세요!"""
