IncidentName#0,"""리리파족 촌락 방어"""
TrialBeginMsg#0,"""리리파족의 거주지를 끝까지 지켜라!"""
TrialAbstract#0,"""리리파족의 거주지를 끝까지 지켜라!"""
NpcComOnBegin#0,"""구역 내 리리파족 거주지가<br>습격받고 있는 모양입니다.<br>즉시 구원하러 가 주세요."""
NpcComOnAfterBegin#0,"""거주지의 위치 좌표는 $(0)입니다."""
NpcComOnSuccess#0,"""어떻게든 끝까지 지켜냈군요.<br>수고하셨습니다."""
NpcComOnFailure#0,"""/face4 ...거주지가 전부 파괴됐습니다.<br>어쩔 수 없습니다.<br>통상 임무로 돌아가 주세요."""
NpcComOnArrive#0,"""그 지점에 리리파족의<br>거주지가 있습니다.<br>주변의 에너미를 격퇴해 주세요."""
NpcComOnBroken1#0,"""거주지 파괴를 확인했습니다.<br>두 곳 남았습니다. 어떻게든 지키세요."""
NpcComOnBroken2#0,"""거주지 파괴를 확인했습니다...<br>한 곳 남았습니다. 하나만이라도..."""
NpcComOnTimeLimit1#0,"""적의 기세가 약해지는 모양입니다.<br>계속 격퇴해 주세요."""
NpcComOnTimeLimit2#0,"""적의 출현이 잦아들고 있습니다.<br>끝까지 방심하지 말고 대응하세요."""
NpcComOnBegin#1,"""근처 리리파족의 거주지가<br>습격받고 있는 모양이다.<br>각자 구원하러 가라."""
NpcComOnAfterBegin#1,"""좌표는 $(0)이다.<br>마커 표시를 따라 급행해라."""
NpcComOnSuccess#1,"""좋아, 거주지 방어 완료다.<br>잘했다."""
NpcComOnFailure#1,"""확인된 거주지는 전부 파괴됐다.<br>...후회해도 어쩔 수 없겠지.<br>통상 임무로 돌아가라."""
NpcComOnArrive#1,"""좋아, 거주지에 도착한 모양이군.<br>주변의 적을 격퇴해라."""
NpcComOnBroken1#1,"""칫... 거주지 하나가 파괴됐나.<br>두 곳 남았다. 서둘러 대응해라."""
NpcComOnBroken2#1,"""남은 거주지는 이제 한 곳이다.<br>무슨 수를 써서라도 지켜라."""
NpcComOnTimeLimit1#1,"""좋아, 적의 기세가 약해지고 있다."""
NpcComOnTimeLimit2#1,"""적의 기세를 밀어내고 있다.<br>그 기세로 계속 격퇴해라."""
NpcComOnBegin#2,"""구역 내 리리파족 거주지가<br>습격받고 있어요!<br>서둘러 도와주러 가 주세요!"""
NpcComOnAfterBegin#2,"""거주지 위치는... $(0)이에요!<br>마커도 표시해 둘게요!"""
NpcComOnSuccess#2,"""/face2 다행이다... 어떻게든 거주지를<br>끝까지 지킨 모양이에요.<br>정말 수고하셨어요!"""
NpcComOnFailure#2,"""/face6 ...으으, 거주지가 다 파괴됐어요.<br>어쩔 수 없으니 통상 임무로<br>돌아가 주세요."""
NpcComOnArrive#2,"""리리파족 거주지는 그 근처예요!<br>주변의 적을 격퇴하면서<br>거주지를 지켜주세요!"""
NpcComOnBroken1#2,"""/face4 아앗, 거주지 하나가<br>파괴되고 말았어요!<br>두 곳 남았으니 지켜주세요!"""
NpcComOnBroken2#2,"""/face4 거주지가 한 곳 남았어요!<br>어떻게든, 어떻게든<br>지켜주세요!"""
NpcComOnTimeLimit1#2,"""/face2 적의 기세가 약해지고 있어요!<br>그 기세예요!\u3000그대로 계속하세요!"""
NpcComOnTimeLimit2#2,"""/face2 대단해요!\u3000적을 밀어내고 있어요!<br>조금만, 조금만 더 힘내요!"""
