IncidentName#0,"""$(0) 격파"""
TrialBeginMsg#0,"""적 $(0) 격파가 목표!<br>파트너가 2회 전투 불능이 되면 실패."""
TrialAbstract#0,"""적 $(0) 격파가 목표!<br>파트너가 2회 전투 불능이 되면 실패."""
NpcComOnFailure#0,"""안타깝지만 어쩔 수 없어요.<br>対象の人物はこちらで回収を……<br>って、あれ？ 反応が消えてる？"""
NpcComOnDownB#0,"""対象の人物に多大な負担が<br>かかっています。次の失敗時には<br>撤退を推奨させてもらいます。"""
NpcComOnFailure#1,"""……ここまでだな。<br>対象の人物はこちらで回収を……<br>……何？ 反応が消えただと……！"""
NpcComOnDownB#1,"""対象の人物に負担がかかりすぎている。<br>次、戦闘不能になった場合には<br>強制的に対象を撤退させるぞ。"""
NpcComOnFailure#2,"""……うう、残念ですけどここまでです。<br>対象の人物を回収して……って、あれ？<br>反応が消えちゃってる……？"""
NpcComOnDownB#2,"""ああっ、一緒に戦っている人に<br>負担がかかりすぎです！ 次やられたら<br>無理矢理でも撤退させますので！"""
NpcComOnFailure#3,"""残念ですが、失敗は失敗。<br>対象の人物の回収を……？<br>……対象の反応、消失。何故？"""
NpcComOnDownB#3,"""対象の人物の負担、甚大です。<br>次の失敗時には強制的な撤退を<br>遂行予定となります。"""
