IncidentName#0,"""물가의 배의 동력원을 파괴하라!"""
TrialBeginMsg#0,"""적 세력을 격파하고<br>수상함에 탑승하여 동력원을 파괴하라!"""
TrialAbstract#0,"""적 세력을 격파하고<br>수상함에 탑승하여 동력원을 파괴하라!"""
NpcComOnBegin#0,"""칫, 수상함이 나타났나.<br>그냥 두면 일방적으로 포격당해서<br>성가시게 된다. 시급히 대처해라."""
NpcComOnCannonBreak#0,"""지금 그쪽으로 캐터펄트를 전송했다.<br>그걸 이용해, 수상함에 올라타서<br>동력원을 파괴해라."""
NpcComOnSuccess#0,"""수상함의 침묵을 확인.<br>こ이걸로 포격도 멈추겠지.<br>잘 해냈구나."""
NpcComOnFailure#0,"""드디어 에너지가<br>다한 것 같군……<br>할 수 없군 통상 임무로 돌아가라."""
NpcComOnBegin#1,"""수상함의 출현을 확인.<br>일방적인 포격을 받게되는 것은 위험.<br>대처를 요청합니다."""
NpcComOnCannonBreak#1,"""캐터펄트 전송완료.<br>그것을 이용하여 수상함에 돌입.<br>그 후 동력원을 파괴해주세요."""
NpcComOnSuccess#1,"""수상함의 동력 파괴를 확인.<br>훌륭한 솜씨입니다."""
NpcComOnFailure#1,"""에너지 잔량 제로에 의한<br>대상의 자동 정지를 확인.<br>각 대원 통상 임무로 돌아가주세요. """
