IncidentName#0,"""$(0) 토벌"""
TrialBeginMsg#0,"""$(0) 토벌하기!"""
TrialAbstract#0,"""$(0) 토벌하기!"""
GateBreak1#0,"""대창벽문이 파괴됐다"""
GateBreak2#0,"""대창벽문이 파괴됐다"""
MonoPrincessLevelUpdate1#0,"""【스쿠나히메의 가호】<br>이동 속도 UP<br>점프력 UP<br>코스모/문 아토마이저 효과 범위 향상"""
MonoPrincessLevelUpdate2#0,"""【스쿠나히메의 가호】<br>HP 최대치 UP"""
MonoPrincessLevelUpdate3#0,"""【스쿠나히메의 가호】<br>PP 회복량 UP"""
NpcComOnBegin#0,"""긴급 통지.<br>강력한 적성 반응 확인<br>신속한 격파를 부탁드립니다."""
NpcComOnSuccess#0,"""적성 반응이 소실됐습니다<br>다들 노력해주셔서 감사합니다."""
NpcComOnFailure#0,"""/face4 교전중인 대원들의 반응이 소실되었습니다.<br>바로 캠프쉽으로<br>귀환을 하겠습니다."""
HP_Under_50#0,"""$(0)<br>남은 체력 저하!"""
HP_Under_10#0,"""$(0)<br>체력이 얼마 남지 않았습니다!"""
NpcComLastEnemy#0,"""남은 적 이제 하나!"""
GateBreak1#1,"""제 1문"""
GateBreak2#1,"""제 2문"""
FinalGateArrival#0,"""최종벽문"""
FinalGateWarning1#0,"""최종벽문 내구도 50%를 넘겼습니다"""
FinalGateWarning2#0,"""최종벽문 내구도 10%를 넘겼습니다"""
NpcComOnBegin#1,"""긴급 통보다.<br>강력한 적성 반응이 확인됐다.<br>서둘러 격파해라."""
NpcComOnSuccess#1,"""적성 반응의 소실 확인.<br>잘 해냈구나."""
NpcComOnFailure#1,"""칫, 이쪽이 당했군…<br>캠프 쉽으로 귀환한다."""
HP_Under_50#1,"""$(0)<br>남은 체력 저하!"""
HP_Under_10#1,"""$(0)<br>체력이 얼마 남지 않았다!"""
NpcComLastEnemy#1,"""한 녀석 남았다! 방심하지 마라!"""
GateBreak1#2,"""제 1문"""
GateBreak2#2,"""제 2문"""
FinalGateArrival#1,"""최종벽문"""
FinalGateWarning1#1,"""최종벽문 내구도 50%를 넘겼습니다"""
FinalGateWarning2#1,"""최종벽문 내구도 10%를 넘겼습니다"""
NpcComOnBegin#2,"""기, 긴급 연락이에요!<br>강력한 적성 반응 확인!<br>서둘러 격파해 주세요!"""
NpcComOnSuccess#2,"""/face2 적 반응 소실!<br>여러분 수고하셨습니다!"""
NpcComOnFailure#2,"""/face6 아아아…… 교전중인 아크스가<br>당해버렸네요……<br>캠프 쉽으로 전송하겠습니다……"""
HP_Under_50#2,"""$(0)<br>남은 체력이 저하됐어요!"""
HP_Under_10#2,"""$(0)<br>체력이 조금밖에 안남았어요!"""
NpcComLastEnemy#2,"""/face2 앞으로 하나! 앞으로 하나!"""
GateBreak1#3,"""제 1문"""
GateBreak2#3,"""제 2문"""
FinalGateArrival#2,"""최종벽문"""
FinalGateWarning1#2,"""최종벽문 내구도 50%를 넘겼습니다"""
FinalGateWarning2#2,"""최종벽문 내구도 10%를 넘겼습니다"""
NpcComOnBegin#3,"""긴급 통지.<br>강력한 적성 존재의 반응 감지.<br>신속한 대응을 부탁합니다."""
NpcComOnSuccess#3,"""적성 반응 소실.<br>임무 완료를 확인했습니다."""
NpcComOnFailure#3,"""/face4 최종 대창벽문 파괴.<br>전투 진행 불가."""
HP_Under_50#3,"""$(0)<br>남은 체력 저하."""
HP_Under_10#3,"""$(0)<br>체력이 얼마 안남았습니다."""
NpcComLastEnemy#3,"""이제 남은 적은 하나입니다."""
GateBreak1#4,"""『마가츠』가 제 1문을 파괴하고 침공 중.<br>각 대원 추격하여 침공 저지."""
GateBreak2#4,"""『마가츠』가 제 2문 파괴하고<br>최종 대창벽문으로 침공 중.<br>각 대원 서둘러 추격해주세요."""
FinalGateArrival#3,"""『마가츠』가 최종 대창벽문에 도달.<br>아크스 각 대원은『마가츠』를 추격.<br>침공을 전력으로 저지."""
FinalGateWarning1#3,"""최종 대창벽문의 손상 확대 중.<br>각 대원『마가츠』의 침공을 막기위해<br>전력으로 상황에 임해주세요."""
MonoPrincessLevelUpdate1#1,"""/atime2 /voice11_sound_voice_magat_qu002 지금부터 소첩의 가호를 내리겠다.<br>평소보다 가볍게 움직일 수 있게<br>될 것이니라!"""
MonoPrincessLevelUpdate2#1,"""/atime2 /voice11_sound_voice_magat_qu003 『마가츠』의 힘이 약해지고 있구나.<br>소첩의 힘이 전해지기 쉬워졌노라.<br>체력 상승, 혜신의 가호를 내리노라!"""
MonoPrincessLevelUpdate3#1,"""/atime1.5 /voice11_sound_voice_magat_qu004 지금이 승부를 결판낼 때다!<br>소첩의 가호와 그대들의 힘<br>지금이야말로 하나로 할 순간!"""
