IncidentName#0,"""많은 샘플을 채굴하라!"""
TrialBeginMsg#0,"""채굴기를 써서 일정 시간 안에<br>일정 수의 샘플을 채굴하라!"""
TrialAbstract#0,"""채굴기를 써서 일정 시간 안에<br>일정 수의 샘플을 채굴하라!"""
ToastOnHalfFinish#0,"""할당량 달성까지 이제 절반."""
ToastOnLast#0,"""할당량 달성까지 이제 1개."""
NpcComOnBegin#0,"""이 주변이 포인트인 것 같다.<br>채굴기를 써서 파해처봐라."""
NpcComOnSuccess#0,"""채굴 작업은 무사히 끝난 것 같군.<br>이 포인트는 여기까지인 것 같다.<br>뭐, 문제 없는 성과겠지."""
NpcComOnFailure#0,"""포인트를 잘못 찾았나……？<br>어찌됐건 다음 기회겠군."""
NpcComOnAccess#0,"""채굴기의 사용법은 알고 있겠지?<br>빛나고 있을 때 액세스하는 거다."""
NpcComOnHit#0,"""호오, 이건 굉장하군. 그 장소에서<br>이렇게 귀한 것이 발굴될 줄이야."""
NpcComOnMiss#0,"""한 곳에 고집하지 말고<br>다른 채굴기도 시도해보는게 좋다."""
NpcComOnPreSuccess#0,"""할당량을 달성한 것 같군.<br>아직 파내볼 여지는 있다.<br>찾아보도록 해라."""
NpcComOnPreFinish#0,"""슬슬 채굴기의 가동시간의 한계다.<br>채굴을 하려면 서둘러라."""
NpcComOnBegin#1,"""포인트는 이 주변입니다.<br>채굴기를 써서 탐색하세요."""
NpcComOnSuccess#1,"""채굴 작업 완료를 확인.<br>이 포인트는 여기까지인 듯합니다."""
NpcComOnFailure#1,"""……채굴 포인트의 오감지?<br>어쩔 수 없습니다.<br>다음 기회를 기다리죠."""
NpcComOnAccess#1,"""채굴기가 빛나는 타이밍에<br>액세스해주세요.<br>그러면 채굴기가 가동합니다."""
NpcComOnHit#1,"""좋은 물건이 발굴됐어요.<br>데이터로써도 귀중합니다."""
NpcComOnMiss#1,"""그곳에만 고집하지 말고<br>다른 채굴기도 이용하면<br>어떠신가요."""
NpcComOnPreSuccess#1,"""할당량 달성을 확인.<br>아직 여유가 있으므로<br>발굴을 계속하셔도 좋습니다."""
NpcComOnPreFinish#1,"""채굴기 가동시간 한계에 가깝습니다.<br>채굴을 하실 거라면<br>서둘러주세요."""
