IncidentName#0,"""포선화 소탕 작전"""
TrialBeginMsg#0,"""포선화를 일소하라!"""
TrialAbstract#0,"""포선화를 일소하라!"""
ToastOnHalfFinish#0,"""할당량까지 앞으로 절반"""
ToastOnLast#0,"""할당량까지 앞으로 1개"""
NpcComOnBegin#0,"""포선화 군생지대에 들어온 듯하다.<br>이렇게 수가 많으면 조사의 방해된다.<br>보이는 즉시 제거해라."""
NpcComOnBeginNext#0,"""수가 너무 많아서 마커에 표시할 수 없다.<br>닥치는 대로 제거해라."""
NpcComOnSuccess#0,"""제거 성공을 확인.<br>잘했다."""
NpcComOnFailure#0,"""/face6 이 숫자는 손에 벅찬가……<br>어쩔 수 없지 일단 철수해라."""
NpcComOnAccess#0,"""그 기세다.<br>주위의 포선화 제거를 계속해라."""
NpcComOnHit#0,"""「그 기세다.주위의 포선화 일소를 부탁한다」"""
NpcComOnPreSuccess#0,"""좋아 이정도 제거했다면 충분하다.<br>남아있는 포선화의 취급은 맡겨두지."""
NpcComOnPreFinish#0,"""슬슬 제한 시간이 끝난다.<br>어서 포선화를 제거해라."""
