IncidentName#0,"""들뜬 결정을 지켜라!"""
TrialBeginMsg#0,"""일정 시간 동안 여기 결정을 방어하라.<br>2개가 파괴되면 실패한다."""
TrialAbstract#0,"""일정 시간 동안 여기 결정을 방어하라!"""
ToastOnSuccess#0,"""여기 결정 효과로 PSE 발생률이 올랐다!"""
ToastOnPinch#0,"""$(0)의 여기 결정 힘이 약해지고 있다!"""
NpcComOnBegin#0,"""각자 여기 결정을 방어해 주세요!<br>결정 주변에 아크스가 없으면<br>힘이 약해지니 주의하세요!"""
NpcComOnSuccess#0,"""/face2 방어 성공입니다!<br>포톤이 활성화되어 PSE가<br>더 쉽게 발생하는 것 같습니다!"""
NpcComOnFailure#0,"""/face4 규정 수 이상의 여기 결정이<br>파괴되고 말았습니다...<br>통상 임무로 돌아가 주세요."""
NpcComOnDestroy#0,"""$(0)에 있는<br>여기 결정이 파괴됐습니다!<br>다른 결정을 방어해 주세요!"""
NpcComOnLast#0,"""여기 결정이 얼마 남지 않았습니다!<br>어떻게든 끝까지 지켜주세요!"""
NpcComOnAddPse#0,"""새로운 여기 결정이 발생했습니다!<br>방어해 주세요!<br>많이 지키면 상황이 좋아질 겁니다!"""
NpcComOnBegin#1,"""각자 여기 결정을 끝까지 지켜라.<br>결정 근처에 아크스가 없으면<br>힘이 약해지는 모양이다. 주의해라."""
NpcComOnSuccess#1,"""좋아, 성공이다.<br>포톤 활성화를 확인했다. PSE<br>발생 확률이 크게 상승하고 있다."""
NpcComOnFailure#1,"""파괴된 여기 결정이<br>규정 수를 넘어 버렸군...<br>방어는 끝이다. 통상 임무로 돌아가라."""
NpcComOnDestroy#1,"""$(0)의 여기 결정이<br>파괴된 모양이다.<br>다른 결정은 당하지 않게 해라."""
NpcComOnLast#1,"""여기 결정이 얼마 남지 않았다.<br>지킬 수 있는 것부터 지켜라."""
NpcComOnAddPse#1,"""새로운 여기 결정인가...<br>가능하다면 저것도 지켜라.<br>많이 남길수록 상황이 좋아질 것이다."""
NpcComOnBegin#2,"""앗, 여기 결정이네요!<br>결정 근처에 있지 않으면 계속<br>힘을 잃다가 파괴돼요!"""
NpcComOnSuccess#2,"""/face2 성공한 것 같아요!<br>포톤 활성화가 확인됐어요!<br>PSE가 잔뜩 일어날 것 같아요!"""
NpcComOnFailure#2,"""/face4 규정 수 이상의 여기 결정이<br>파괴된 것 같아요...<br>아쉽지만 방어는 포기하도록 해요."""
NpcComOnDestroy#2,"""아아앗!<br>$(0)의 여기 결정이<br>파괴되고 말았어요!"""
NpcComOnLast#2,"""/face4 으으으... 여기 결정이<br>이제 조금밖에 남지 않았어요..."""
NpcComOnAddPse#2,"""/face2 오옷!\u3000새로운 여기 결정이에요!<br>저것도 지켜주세요!<br>끝까지 지키면 좋은 일이 생겨요!"""
NpcComOnBegin#3,"""여기 결정을 지켜주세요!<br>결정 근처에 아크스가 없으면<br>결정의 힘이 약해져 버립니다!"""
NpcComOnSuccess#3,"""끝까지 지켜냈습니다!<br>이제 괜찮아요. 포톤이 활성화되어<br>PSE가 잔뜩 일어날 거예요!"""
NpcComOnFailure#3,"""여기 결정이 너무 많이 파괴됐네요...<br>어쩔 수 없습니다. 기분을 전환하고<br>통상 임무로 돌아가죠."""
NpcComOnDestroy#3,"""앗, $(0)의<br>여기 결정이 파괴됐습니다!<br>다른 결정을 지켜주세요!"""
NpcComOnLast#3,"""여기 결정이 얼마 남지 않았습니다!<br>남은 것만이라도 끝까지 지키죠!"""
NpcComOnAddPse#3,"""이런, 새로운 여기 결정이 나타났군요.<br>많이 지킬수록 좋으니<br>가능한 한 지키도록 하죠!"""
NpcComOnBegin#4,"""여기 결정을 지켜주세요!<br>결정 근처에 아크스가 없으면<br>결정의 힘이 약해져 버립니다!"""
NpcComOnSuccess#4,"""끝까지 지켜냈습니다!<br>이제 괜찮아요. 포톤이 활성화되어<br>PSE가 잔뜩 일어날 거예요!"""
NpcComOnFailure#4,"""여기 결정이 너무 많이 파괴됐네요...<br>어쩔 수 없습니다. 기분을 전환하고<br>통상 임무로 돌아가죠."""
NpcComOnDestroy#4,"""앗, $(0)의<br>여기 결정이 파괴됐습니다!<br>다른 결정을 지켜주세요!"""
NpcComOnLast#4,"""여기 결정이 얼마 남지 않았습니다!<br>남은 것만이라도 끝까지 지키죠!"""
NpcComOnAddPse#4,"""이런, 새로운 여기 결정이 나타났군요.<br>많이 지킬수록 좋으니<br>가능한 한 지키도록 하죠!"""
