IncidentName#0,"""$(0) 격파"""
TrialBeginMsg#0,"""적 $(0) 격파가 목표!"""
TrialAbstract#0,"""적 $(0) 격파가 목표!"""
NpcComOnBegin#0,"""근처에 교전 중인 아크스가 있습니다!<br>즉시 합류해서 협력해<br>주변 일대의 적을 격퇴해 주세요!"""
NpcComOnSuccess#0,"""/face2 수고하셨습니다!<br>좋은 협력 관계였던 것 같습니다!"""
NpcComOnBeginP1#0,"""$(0)의<br>서포트 파트너가<br>에너미의 습격을 받고 있습니다!"""
NpcComOnBeginP2#0,"""주변의 에너미를 제거하고<br>안전을 확보해 주세요."""
NpcComOnBegin#1,"""근처에서 교전 중인 아크스 반응 포착.<br>합류해 협력하여 주변의 적성 존재를<br>격퇴해 주세요."""
NpcComOnSuccess#1,"""적성 세력의 전멸을 확인했습니다.<br>협력 임무 수행, 훌륭합니다."""
NpcComOnBeginP1#1,"""$(0)의<br>서포트 파트너가<br>적성 존재의 습격을 받고 있습니다."""
NpcComOnBeginP2#1,"""주변의 적성 존재를 제거하고<br>안전을 확보하세요."""
NpcComOnBegin#2,"""<%me>!<br>근처에 교전 중인 아크스가 있습니다!<br>합류해 협력하여 적성 존재를 격퇴하세요!"""
NpcComOnSuccess#2,"""수고하셨습니다!<br>갑작스러운 공투였지만<br>연계가 아주 좋았어요!"""
NpcComOnBeginP1#2,"""$(0)의<br>서포트 파트너가 습격받고 있습니다!<br>지원해 주세요!"""
NpcComOnBeginP2#2,"""주변 에너미를 격퇴하고 안전 확보!<br>잘 부탁드립니다!"""
