IncidentName#0,"""$(0) 토벌"""
TrialBeginMsg#0,"""$(0)を倒せ！"""
TrialAbstract#0,"""$(0)を討伐せよ！"""
NpcComOnBegin#0,"""緊急通達。<br>강력한 적성 반응 확인.<br>早急な撃破をお願いします。"""
NpcComOnSuccess#0,"""敵性反応、消失しました。<br>各員の努力に感謝します。"""
NpcComOnBegin#1,"""緊急通達だ。<br>強力な敵性反応が確認された。<br>早急に撃破しろ。"""
NpcComOnSuccess#1,"""敵性反応の消失を確認。<br>よくやったな。"""
NpcComOnBegin#2,"""기, 긴급연락입니다!<br>강력한 적의 반응을 확인!<br>서둘러 격퍼해 주세요!"""
NpcComOnSuccess#2,"""/face2 적의 반응 소실!<br>여러분 수고하셨습니다!"""
NpcComOnBegin#3,"""緊急通達。<br>強力な敵性反応を感知。<br>迅速な対応を望みます。"""
NpcComOnSuccess#3,"""적성 반응 소실.<br>任務完了を確認しました。"""
NpcComOnBegin#4,"""緊急通達です！<br>強力な敵性反応を確認しました！<br>急ぎ対処をお願いします！"""
NpcComOnSuccess#4,"""적성 반응 소실 확인!<br>お見事です！"""
NpcComOnBegin#5,"""緊急通達です！<br>強力な敵性反応を確認しました！<br>急ぎ対処をお願いします！"""
NpcComOnSuccess#5,"""적성 반응 소실 확인!<br>お見事です！"""
