IncidentName#0,"""$(0) 격파"""
TrialBeginMsg#0,"""긴급 지령!<br>적 $(0) 격파가 목표!"""
TrialAbstract#0,"""난입해온 적<br>$(0) 격파가 목표!"""
NpcComOnPreBegin#0,"""강력한 적성 존재의 반응을 감지!<br>현재 교전 중인 적과 동종으로 추정됩니다!"""
NpcComOnBegin#0,"""긴급 통보.<br>강력한 적성 존재를 확인했습니다.<br>신속한 격파를 부탁드립니다."""
NpcComOnSuccess#0,"""/face2 주변의 강력한 적성 존재를<br>모두 격퇴했습니다!<br>수고하셨습니다!"""
NpcComOnFailure#0,"""/face4 상황 실패입니다.<br>각 대원 통상임무로 돌아가주세요."""
NpcComOnPreBegin#1,"""강력한 적성 반응이 접근 중이다.<br>교전 중인 녀석과 동종인 모양이다."""
NpcComOnBegin#1,"""긴급 통보다.<br>강력한 적성 존재를 확인했다.<br>신속히 격파해라."""
NpcComOnSuccess#1,"""주변 일대의 적성 존재는<br>일단 정리된 모양이군.<br>수고했다."""
NpcComOnFailure#1,"""/face6 ……실패인가.<br>각 대원 통상임무로 돌아가라."""
NpcComOnPreBegin#2,"""강한 반응이 팍팍 느껴져요!<br>지금 싸우는 적과 동종일까요?"""
NpcComOnBegin#2,"""긴급 통보예요!<br>강력한 적의 반응을 확인!<br>서둘러 격파해 주세요!"""
NpcComOnSuccess#2,"""/face2 후, 이걸로 일단락이네요!<br>다행이에요!"""
NpcComOnFailure#2,"""/face6 으, 실패네요……<br>통상임무로 돌아가주세요."""
NpcComOnPreBegin#3,"""교전 중인 종과 같은 반응을 지닌<br>강력한 적성 반응이 접근 중."""
NpcComOnBegin#3,"""긴급 통보.<br>강력한 적성 반응이 출현.<br>신속한 격파를."""
NpcComOnSuccess#3,"""주변 적성 반응, 소멸.<br>훌륭한 대응입니다."""
NpcComOnFailure#3,"""긴급 임무 실패를 확인했습니다.<br>통상 임무로 돌아가 주세요."""
NpcComOnPreBegin#4,"""강력한 적성 반응을 감지!<br>교전 중인 적과 동종이군요.<br>적의 증원일지도 모릅니다."""
NpcComOnBegin#4,"""긴급 통보!<br>적성 존재의 증원을 확인했습니다!<br>함께 격파해 버리죠!"""
NpcComOnSuccess#4,"""주변 적성 존재의 반응, 소멸!<br>수고하셨습니다!"""
NpcComOnFailure#4,"""역시 쉽지 않네요…<br>마음을 다잡고<br>통상 임무로 돌아가죠."""
NpcComOnPreBegin#5,"""강력한 적성 반응을 감지!<br>교전 중인 적과 동종이군요.<br>적의 증원일지도 모릅니다."""
NpcComOnBegin#5,"""긴급 통보!<br>적성 존재의 증원을 확인했습니다!<br>함께 격파해 버리죠!"""
NpcComOnSuccess#5,"""주변 적성 존재의 반응, 소멸!<br>수고하셨습니다!"""
NpcComOnFailure#5,"""역시 쉽지 않네요…<br>마음을 다잡고<br>통상 임무로 돌아가죠."""
