IncidentName#0,"""$(0) 격파"""
TrialBeginMsg#0,"""적 $(0) 격파가 목표!<br>파트너가 2회 전투 불능이 되면 실패."""
TrialAbstract#0,"""적 $(0) 격파가 목표!<br>파트너가 2회 전투 불능이 되면 실패."""
NpcComOnFailure#0,"""아쉽지만 어쩔 수 없습니다.<br>대상 아크스는 이쪽에서<br>회수하겠습니다."""
NpcComOnDownB#0,"""대상 아크스에겐 막대한 부담이<br>가고 있습니다. 다시 실패하면<br>철수를 권장합니다."""
NpcComOnFailure#1,"""…여기까지군.<br>대상 아크스는 이쪽에서 회수하겠다."""
NpcComOnDownB#1,"""대상 아크스의 부담이 너무 크다.<br>다음에 전투 불능이 되면<br>강제로 철수시키겠다."""
NpcComOnFailure#2,"""…으으, 아쉽지만 여기까지예요.<br>대상 아크스는 이쪽에서<br>회수하겠습니다!"""
NpcComOnDownB#2,"""함께 싸우는 아크스의 부담이<br>너무 큽니다!\u3000다음에는<br>철수시킬 테니 주의해 주세요!"""
NpcComOnFailure#3,"""아쉽지만 실패는 실패.<br>대상 아크스를 회수합니다."""
NpcComOnDownB#3,"""대상 아크스의 부담, 막대합니다.<br>다음 실패 시 강제 철수를<br>수행할 예정입니다."""
