IncidentName#0,"""환창 부유 요새를 파괴하라!"""
TrialBeginMsg#0,"""제한시간 안에 환창 부유 요새를 파괴하라!"""
TrialAbstract#0,"""제한시간 안에 환창 부유 요새를 파괴하라!"""
NpcComOnBegin1#0,"""거대한 환창종 부유 요새가 상공에 출현!<br>라이드로이드로 요격해 주세요!"""
NpcComOnBegin2#0,"""환창 부유 요새의 코어를 공격해 주세요!<br>주변의 제어 장치를 파괴하면<br>코어가 노출됩니다!"""
NpcComOnSuccess#0,"""환창 부유 요새를 구현하던<br>대량의 에테르가 흩어지고 있습니다!<br>해냈네요!"""
NpcComOnFailure#0,"""포탑에서 공격이 옵니다!<br>조심해 주세요!"""
NpcComRemHalf#0,"""제어 장치 잔존 수, 이제 절반입니다!<br>모두 파괴하면<br>코어가 나올 겁니다!"""
NpcComRemZero#0,"""포탑 근처에 코어가 나타났습니다!<br>코어에 집중 공격해 주세요!"""
NpcComOnHPLE50#0,"""환창 부유 요새의 에테르 양이 감소!<br>코어 공격이 효과를 내고 있습니다!<br>이제 조금만 더!"""
NpcComOnTime50#0,"""중앙 포탑이 전개됐습니다!<br>강력한 공격이 예상됩니다!<br>서둘러 부유 요새를 파괴하세요!"""
NpcComOnTime10#0,"""포탑의 에너지 충전이<br>곧 완료될 반응입니다!<br>서둘러 주세요!"""
