IncidentName#0,"""겔 부르프를 요격하라!"""
TrialBeginMsg#0,"""겔 부르프를 격파 또는 회피하라<br>시간 안에 격파 못하고$(0)회 이상 습격당하면 실패"""
TrialAbstract#0,"""겔 부르프의 격파<br>또는 제한 시간까지 회피하라"""
TrialOutbreak#0,"""$(0)(이)가 겔 부르프에게 습격당했다!"""
NpcComOnBegin#0,"""긴급 통신입니다.<br>겔 부르프의 출현을 확인했습니다."""
NpcComOnBeginAtRareCase#0,"""긴급 통신입니다.<br>겔 부르프의 출현을 확인했습니다."""
NpcComOnBeginEmplacement#0,"""포톤 캐논 전송.<br>겔 부르프를 파괴할 수 있겠지만<br>무리하지 말고 회피를 우선으로 하세요."""
NpcComOnSuccess#0,"""/face2 겔 부르프의 반응 모두 소실.<br>お훌륭합니다."""
NpcComOnSuccessDestroy#0,"""/face2 겔 부르프의 파괴 성공했습니다."""
NpcComOnFailure#0,"""/face4 대겔 부르프의 영향에 의한 피해심대!<br>피해 허용 범위를 넘었습니다……。<br>유감입니다."""
NpcComOnTarget#0,"""$(0)！ 주의해주세요!<br>당신이 타겟이 됐어요!"""
NpcComOnTime1#0,"""겔 부르프의 기동 시간에는<br>한계가 있습니다!<br>그때까지 견뎌주세요!"""
NpcComOnTime2#0,"""그 상태에요! 이제 곧<br>겔 부르프의 활동 한계입니다!<br>조금만 더 견뎌주세요!"""
NpcComOnHit#0,"""/face2 포톤 캐논의 유효성 확인.<br>역시 이거라면 대항<br>가능한 것 같네요."""
NpcComDeadEmplacement#0,"""파괴된 포톤 캐논을<br>다시 전송합니다."""
NpcComOnRepop#0,"""겔 부르프의 재전송을 확인!<br>각 대원 주위에 대한 경계를 강화해주세요."""
