IncidentName#0,"""장벽 해제"""
LogPickupKey#0,"""$(0)이 $(1)번 정보 키를 주웠습니다."""
TrialBeginMsg#0,"""장벽을 개방하기 위해 정보 키를 수집하라!"""
TrialAbstract#0,"""열쇠를 $(0)개 모아 장벽을 해제하라!"""
NpcComOnBegin#0,"""장벽 기동을 확인했습니다!<br>개방에는 정보 키가 필요합니다.<br>소탕하며 키를 모아 주세요!"""
NpcComOnSuccess#0,"""/face2 장벽 개방을 확인했습니다!<br>아크스 여러분의 노력에 감사드립니다!"""
NpcComOnFailure#0,"""장벽 개방 실패를 확인.<br>남은 아크스 대원들은<br>주변을 경계해 주세요."""
NpcComOnDispKey#0,"""섬멸로 정보 키 출현을 확인!<br>확보에 힘써 주세요!"""
NpcComOnCollected#0,"""정보 키 결집을 확인!<br>장벽을 개방할 수 있습니다!"""
NpcComOnBegin#1,"""칫, 장벽이 기동했나…<br>개방에는 정보 키가 필요하다.<br>서둘러 수집해라."""
NpcComOnSuccess#1,"""장벽 개방을 확인했다.<br>잘 해냈다."""
NpcComOnFailure#1,"""/face6 …개방 실패군.<br>어쩔 수 없다. 통상 임무로 돌아가라."""
NpcComOnDispKey#1,"""좋아, 정보 키가 나타난 모양이다.<br>회수해 와라."""
NpcComOnCollected#1,"""정보 키가 모인 모양이군.<br>장벽을 개방할 수 있다."""
NpcComOnBegin#2,"""와앗, 장벽이 기동했어요!<br>개방하려면 정보 키를<br>모아야 해요!"""
NpcComOnSuccess#2,"""/face2 장벽이 개방됐습니다!<br>수고하셨습니다!"""
NpcComOnFailure#2,"""/face4 개방 실패예요…<br>어쩔 수 없으니 통상<br>임무로 돌아가요…"""
NpcComOnDispKey#2,"""정보 키가 나타난 모양이에요!<br>회수해 주세요!"""
NpcComOnCollected#2,"""정보 키 수집 완료입니다!<br>장벽을 개방할 수 있어요!"""
