IncidentName#0,"""환창의 미확인 생물을 격퇴하라!"""
TrialBeginMsg#0,"""제한 시간 내 모든 미확인 생물 격퇴!"""
TrialAbstract#0,"""제한 시간 내 미확인 생물 격퇴!"""
NpcComOnBegin#0,"""NPC通信（開始時）<br>の<br>テキストです"""
NpcComOnSuccess#0,"""NPCセリフ（成功時）<br>の<br>テキストです"""
NpcComOnFailure#0,"""NPC通信（失敗時）<br>の<br>テキストです"""
NpcComOnHalf#0,"""目標残り半分以下<br>の<br>テキストです"""
NpcComOnLastOne#0,"""目標残り1匹<br>の<br>テキストです"""
NpcComOnBegin#1,"""NPC通信（開始時）<br>の<br>テキストです"""
NpcComOnSuccess#1,"""NPCセリフ（成功時）<br>の<br>テキストです"""
NpcComOnFailure#1,"""NPC通信（失敗時）<br>の<br>テキストです"""
NpcComOnHalf#1,"""目標残り半分以下<br>の<br>テキストです"""
NpcComOnLastOne#1,"""目標残り1匹<br>の<br>テキストです"""
NpcComOnBegin#2,"""NPC通信（開始時）<br>の<br>テキストです"""
NpcComOnSuccess#2,"""NPCセリフ（成功時）<br>の<br>テキストです"""
NpcComOnFailure#2,"""NPC通信（失敗時）<br>の<br>テキストです"""
NpcComOnHalf#2,"""目標残り半分以下<br>の<br>テキストです"""
NpcComOnLastOne#2,"""目標残り1匹<br>の<br>テキストです"""
NpcComOnBegin#3,"""NPC通信（開始時）<br>の<br>テキストです"""
NpcComOnSuccess#3,"""NPCセリフ（成功時）<br>の<br>テキストです"""
NpcComOnFailure#3,"""NPC通信（失敗時）<br>の<br>テキストです"""
NpcComOnHalf#3,"""目標残り半分以下<br>の<br>テキストです"""
NpcComOnLastOne#3,"""目標残り1匹<br>の<br>テキストです"""
NpcComOnBegin#4,"""지구의 데이터에도 없는<br>수수께끼 생물이 하늘을 날고 있습니다!<br>혼란을 막도록 이곳에서 격퇴하세요!"""
NpcComOnBeginNext#0,"""저 생물은 이동 중 에테르를 변질시켜<br>공격을 무효화하고 있습니다!<br>움직임을 멈췄을 때 공격하세요!"""
NpcComOnSuccess#4,"""수수께끼 생물, 반응 소실!\u3000에테르 확산!<br>여러분, 수고하셨습니다!<br>...대체 무슨 생물이었을까요?"""
NpcComOnFailure#4,"""놓치고 말았군요...<br>더 추적하기는 어려우니<br>통상 임무로 돌아가죠."""
NpcComOnHalf#4,"""목표가 절반 남았습니다!<br>남김없이 격퇴해 버리죠!"""
NpcComOnLastOne#4,"""목표가 이제 하나 남았습니다!<br>...그런데 움직임이 달라졌군요.<br>주의해 주세요!"""
