IncidentName#0,"""침식 전투기를 파괴하라"""
TrialBeginMsg#0,"""다커에게 침식된 전투기를 파괴하라!"""
EnemyAppearMsg#0,"""$(0) 방향에서 적이 나타났다!"""
TrialEvolutionBeginMsg_ReLanding#0,"""수리가 끝날 때까지 전투기를 다시 지켜라!"""
TrialEvolutionBeginMsg_ShootDarkerHeli#0,"""다커에게 침식된 전투기를 파괴하라!"""
TrialAbstract#0,"""제한시간 안에<br>다커에게 침식된 전투기를 파괴하라"""
NpcComOnBegin#0,"""/face3 아크스 전투기가 다커에게<br>침식당했다고…!?<br>칫, 성가시게 됐군."""
NpcComOnBegin2#0,"""침식이 불완전한 지금<br>해당 기체를 파괴해라!"""
NpcComOnHp50#0,"""조심해라.<br>침식이 진행 중이다."""
NpcComOnHp10#0,"""침식 전투기 파괴까지<br>얼마 남지 않았다."""
NpcComOnLanding#0,"""未使用"""
NpcComOnTimeNotice#0,"""…침식 단계가 상당히 심각하다.<br>서둘러 파괴해라. 빼앗기고 만다!"""
NpcComOnSuccess#0,"""침식 전투기 파괴를 확인했다.<br>잘 해냈다."""
NpcComOnFailure#0,"""…전투기의 반응, 소멸.<br>다커 녀석들, 저걸 빼앗아서<br>뭘 하려는 거지…?"""
