IncidentName#0,"""워팔 위기일발！"""
TrialBeginMsg#0,"""워팔 원생 주민을 구출하라!"""
TrialAbstract#0,"""가무아네모네를 파괴하라!"""
NpcComOnBegin#0,"""/face1 포획당한 원생 주민 발견.<br>저대로는 위험합니다.<br>신속히 구조 부탁드립니다."""
NpcComOnSuccess#0,"""/face2 구출 성공입니다.<br>원생 주민도 감사하고 있는 것 같네요."""
NpcComOnFailure#0,"""/face4 ……반응 소실됐습니다.<br>임무 실패입니다."""
NpcComOn1st#0,"""/face1 원생 주민이 삼켜지려고 합니다.<br>어서 구출해주세요."""
NpcComOn2nd#0,"""/face1 구출을 서둘러주세요.<br>이대로면 완전히<br>삼켜지게 됩니다."""
NpcComOn3rd#0,"""/face1 완전히 삼켜져 버렸습니다.<br>어서 도와주지 않으면<br>원생 주민이 위험합니다."""
NpcComOnBegin#1,"""/face1 포식당하는 원생 주민을 발견했다.<br>서둘서 구출하러 가도록."""
NpcComOnSuccess#1,"""/face2 잘 해주었다 구출 완료다.<br>원생 주민도 감사하고 있군."""
NpcComOnFailure#1,"""/face1 반응 소실인……가.<br>어쩔 수 없군 통상 임무로 돌아가라."""
NpcComOn1st#1,"""/face1 원생 주민을 삼키고 있군……<br>그들의 회복하고 구출하라."""
NpcComOn2nd#1,"""/face3 칫……<br>상당히 삼켜져 버렸군.<br>서두르지 않으면 손 쓸 수 없게 된다."""
NpcComOn3rd#1,"""/face3 ……완전히 삼켜지고 말았나<br>이대로는 위험하군……구출을 서둘러라."""
NpcComOnBegin#2,"""/face1 크, 큰일이에요-!<br>원생 주민이 징그러운 것에게<br>잡혀버렸어요! 구해주세요-!"""
NpcComOnSuccess#2,"""/face2 됐다! 됐다! 해냈어요!<br>이걸로 구출 완료입니다!<br>원생 주민도 기뻐보이네요!"""
NpcComOnFailure#2,"""/face4 아앗……더는……<br>……안 되겠네요.<br>임무 실패입니다."""
NpcComOn1st#2,"""/face1 워, 워원, 원생 주민이<br>잡아먹힐 것 같아요!<br>서둘러 구출해줘야 해요!"""
NpcComOn2nd#2,"""/face4 우으……많이<br>삼켜져 버렸어요오……<br>빨리 구출해줘야 해요-!"""
NpcComOn3rd#2,"""/face1 으와아앗 통채로 삼켜졌어!?<br>어, 어서 도와주지 않으면<br>정말로 정말로 위험하다구요오-!"""
