IncidentName#0,"""엘제리온 격파"""
TrialBeginMsg#0,"""엘제리온을 격파하라!"""
TrialAbstract#0,"""엘제리온의 격파"""
NpcComOnBegin#0,"""긴급 통신.<br>강력한 적성 반응 확인<br>신속한 격파를 부탁드립니다."""
NpcComOnSuccess#0,"""적성 반응 도주했습니다.<br>다들 노력해주셔서 감사합니다."""
NpcComOnBegin#1,"""긴급 통보다.<br>강력한 적성 반응이 확인됐다.<br>서둘러 격파해라."""
NpcComOnSuccess#1,"""적성 반응의 도주 확인.<br>잘 해냈구나."""
NpcComOnBegin#2,"""기, 긴급 연락이에요!<br>강력한 적성 반응 확인!<br>서둘러 격파해 주세요!"""
NpcComOnSuccess#2,"""/face2 적분이 도망쳐버렸네요!<br>여러분 수고하셨습니다!"""
NpcComOnBegin#3,"""긴급 통신.<br>강력한 적성 반응 감지.<br>신속한 대응을 부탁드립니다."""
NpcComOnSuccess#3,"""적성 반응 도주.<br>임무 완료를 확인했습니다."""
NpcComOnBegin#4,"""긴급 통보입니다!<br>강력한 적성 반응 확인했습니다!<br>서둘러 대처해 주세요!"""
NpcComOnSuccess#4,"""적성 반응 도주!<br>수고하셨습니다!"""
NpcComOnBegin#5,"""긴급 통보입니다!<br>강력한 적성 반응 확인했습니다!<br>서둘러 대처해 주세요!"""
NpcComOnSuccess#5,"""적성 반응 도주!<br>수고하셨습니다!"""
