IncidentName#0,"""리리파족을 호위하라!"""
TrialBeginMsg#0,"""위험에 처한<br>리리파족을 끝까지 지켜라!"""
TrialAbstract#0,"""위험에 처한<br>리리파족을 끝까지 지켜라!"""
NpcComOnBegin#0,"""아앗!\u3000폭발해 버렸어요…<br>한 명은 돌아왔는데<br>다른 한 명은 어디에…?"""
NpcComOnAfterBegin#0,"""저 아이, 행방불명된 동료를<br>찾고 있는 모양이네요.<br>도와줘요!"""
NpcComOnFirstPoint#0,"""동료가 있는 곳을 아는 걸까요?<br>따라가 봐요."""
NpcComOnPinch#0,"""리리파족에게 적이 접근하고 있습니다!<br>구해 주세요!"""
NpcComOnWalk1#0,"""/face2 귀엽네요…<br>앗, 아, 아무것도 아니에요!"""
NpcComOnWalk2#0,"""으음… 이 행성에 잘 맞는<br>체형은 아닌 것 같네요…<br>이 아이들의 생태는 신기해요."""
NpcComOnWalk3#0,"""/face2 푹신푹신할 것 같네요…<br>앗, 아, 아무것도 아니에요!"""
NpcComOnSuccess#0,"""/face2 동료와 합류한 모양이네요.<br>수고하셨습니다."""
NpcComOnFailure#0,"""/face4 앗… 도망가 버렸네요.<br>아쉽지만 여기까지예요."""
