IncidentName#0,"""불꽃의 ANGEL"""
TrialBeginMsg#0,"""불길에 갇힌 구조 대상자를 구출하라!"""
TrialAbstract#0,"""불길에 갇힌 구조 대상자를 구출하라!"""
NpcComOnBegin#0,"""시가지 곳곳에서 미처 피하지 못한<br>사람들이 구조를 기다리고 있습니다!<br>즉시 구조하러 가 주세요!"""
NpcComOnSuccess#0,"""/face2 반응이 확인된 모든 대상자의<br>구조를 확인했습니다.<br>수고하셨습니다!"""
NpcComOnFailure#0,"""더는 위험합니다!<br>위험 부담이 크지만 구조 대상자를<br>모두 강제로 전송하겠습니다!"""
NotifyPos#0,"""구조 대상자의 위치를 확인했습니다.<br>마커에 표시된<br>구조 대상자를 구해 주세요!"""
NotifyMethod#0,"""안전하게 전송하려면<br>불을 끈 뒤 구조 대상자에게 접촉해<br>정확한 좌표를 보내주세요."""
FirstTrans#0,"""구조 대상자의 좌표를 특정했습니다.<br>전송 확인 완료입니다!<br>계속 구조해 주세요!"""
RescueeFound#0,"""구조 대상자가 불길에 갇혔습니다.<br>불을 끄지 않으면 전송이 위험합니다.<br>먼저 불을 꺼 주세요."""
GeneratorAdd#0,"""새로운 구조 대상자를 확인했습니다.<br>모두 구조해 주세요!"""
TimeLimitNear#0,"""구조 대상자가 위험한 상황입니다!<br>서둘러 구조하러 가 주세요!"""
TimeLimitHurry#0,"""구조 대상자의 활력 수치가 위험합니다!<br>서둘러 주세요!"""
RescueMethod#0,"""진화를 확인했습니다.<br>구조 대상자에게 접촉해<br>정확한 좌표를 보내주세요."""
NpcComOnBegin#1,"""시가지 넓은 범위에<br>구조 대상자가 존재한다.<br>서둘러 구조하러 가라."""
NpcComOnSuccess#1,"""모든 구조 대상자의 전송을 확인했다.<br>잘했다."""
NpcComOnFailure#1,"""이제는 늦었다.<br>위험 부담이 상당히 크지만<br>구조 대상자를 모두 강제 전송한다!"""
NotifyPos#1,"""구조 대상자의 위치를 확인했다.<br>마커에 표시하겠다.<br>신속하게 구조하러 가라."""
NotifyMethod#1,"""안전하게 전송하려면<br>정확한 좌표가 필요하다.<br>불을 끈 뒤 구조 대상자와 접촉해라."""
FirstTrans#1,"""구조 대상자의 좌표 확인, 전송 완료.<br>그 기세로 모두 구조해라."""
RescueeFound#1,"""구조 대상자 발견.<br>불을 끄지 않으면 전송도 위험하다.<br>먼저 불을 끄고 구조해라."""
GeneratorAdd#1,"""새로운 구조 대상자를 확인했다.<br>즉시 구조하러 가라."""
TimeLimitNear#1,"""아무래도 시간이 너무 걸렸군...<br>가능한 한 서둘러 구조해라."""
TimeLimitHurry#1,"""더는 위험하다.<br>서둘러라!"""
RescueMethod#1,"""진화 확인. 이제 안전하게 전송 가능하다.<br>구조 대상자에게 접촉해<br>정확한 좌표를 보내라."""
NpcComOnBegin#2,"""시가지 화재에서 미처 피하지 못한<br>구조 대상자가 아주 많아요!<br>즉시 구조하러 가 주세요!"""
NpcComOnSuccess#2,"""/face2 구조 대상자 전원의 구조를<br>확인했습니다!<br>수고하셨어요!"""
NpcComOnFailure#2,"""/face4 이제 모두 한계예요!<br>위험을 감수하고<br>구조 대상자를 강제 전송할게요!"""
NotifyPos#2,"""미처 피하지 못한 사람들의<br>위치를 확인했습니다!<br>마커를 따라가 주세요!"""
NotifyMethod#2,"""구조 대상자를 안전하게 전송하려면<br>정확한 좌표가 필요해요!<br>불을 끈 뒤 접촉해 주세요!"""
FirstTrans#2,"""/face2 좌표 확인을 완료했어요.<br>안전하게 전송했습니다.<br>그 기세로 계속해 주세요!"""
RescueeFound#2,"""불길에 휩싸인 채로는<br>전송에도 위험이 따라요!<br>불을 끄고 구해 주세요!"""
GeneratorAdd#2,"""와앗!<br>새로운 구조 대상자의 반응이에요!<br>모두 구해 주세요!"""
TimeLimitNear#2,"""서둘러요!\u3000어서 서둘러 주세요!"""
TimeLimitHurry#2,"""/face4 이제 한계예요!<br>빨리요!\u3000빨리!"""
RescueMethod#2,"""/face2 불이 꺼졌어요!<br>구조 대상자에게 접촉해<br>정확한 좌표를 보내주세요."""
