IncidentName#0,"""램프 안에서 부와아앙!"""
TrialBeginMsg#0,"""제한 시간 내 Mr. 보완을 격파하라!<br>입힌 피해량에 따라 보너스가 달라진다!"""
TrialAbstract#0,"""제한 시간 내 Mr. 보완을 격파하라"""
NpcComOnPreBegin#0,"""새로운 열원 반응이 접근 중!<br>주의하세요. 옵니다!"""
NpcComOnBegin#0,"""/face2 이건!\u3000Mr. 보완입니다.<br>많이 공격해 포톤을 주면<br>좋은 일이 생기는 모양입니다."""
NpcComOnSuccess#0,"""/face2 Mr. 보완에게 포톤을<br>많이 줄 수 있었습니다!<br>좋은 일이 생기셨나요?"""
NpcComOnFailure#0,"""Mr. 보완에게 준 포톤이<br>전혀 부족했던 모양이군요...<br>여러분, 통상 임무로 돌아가 주세요."""
StruckJackBox#0,"""Mr. 보완은 변덕스러워서<br>어디론가 가 버리기도 합니다.<br>그 전에 계속 공격해 주세요."""
NpcComOnPreBegin#1,"""이건 새로운 열원 반응이군.<br>방심하지 마라. 상당히 크다."""
NpcComOnBegin#1,"""/face2 Mr. 보완의 반응을 확인했다!<br>공격으로 포톤을 주면<br>좋은 일이 생긴다는 보고가 있다."""
NpcComOnSuccess#1,"""/face2 Mr. 보완에게 포톤을<br>대량으로 줄 수 있었군!<br>보고대로 이득을 얻었나?"""
NpcComOnFailure#1,"""Mr. 보완에게 줄 포톤이<br>아직 많이 부족했던 모양이다.<br>각자 통상 임무로 돌아가라."""
StruckJackBox#1,"""Mr. 보완은 변덕스럽다!<br>금방 어디론가 가 버리니<br>계속 공격해라!"""
NpcComOnPreBegin#2,"""이 열원 반응은 비정상적입니다!<br>정말 조심해 주세요!"""
NpcComOnBegin#2,"""/face2 앗!\u3000Mr. 보완이에요!<br>공격해서 포톤을 충분히 주면<br>좋은 일이 생기나 봐요!"""
NpcComOnSuccess#2,"""/face2 Mr. 보완에게 포톤을<br>잔뜩 줄 수 있었네요!<br>무언가 복을 받으셨나요?"""
NpcComOnFailure#2,"""Mr. 보완에게 줄 포톤이<br>조금 부족했던 모양이네요...<br>신경 쓰지 말고 임무를 계속하세요."""
StruckJackBox#2,"""Mr. 보완은 변덕스러워서<br>금방 어디론가 사라져 버려요!<br>계속 공격해 주세요!"""
NpcComOnPreBegin#3,"""주변 경계를 강화해 주세요.<br>새로운 반응이 감지됐습니다."""
NpcComOnBegin#3,"""/face2 Mr. 보완을 발견했습니다.<br>신속히 공격해 포톤을 충분히 주고<br>좋은 일을 일으켜 보죠."""
NpcComOnSuccess#3,"""/face2 Mr. 보완에게 포톤을<br>충분히 줄 수 있었습니다.<br>좋은 일이 생겼나요?"""
NpcComOnFailure#3,"""Mr. 보완에게 줄 포톤이<br>부족했던 모양입니다...<br>통상 임무로 돌아가 주세요."""
StruckJackBox#3,"""Mr. 보완은 변덕스럽습니다.<br>어디론가 갈 우려가 있으니<br>적극적으로 공격해 주세요."""
NpcComOnPreBegin#4,"""주변을 경계해 주세요!<br>수상한 반응이 있습니다!"""
NpcComOnBegin#4,"""/face2 저건!\u3000Mr. 보완이군요!<br>공격으로 포톤을 주면<br>좋은 일이 생긴다고 해요!"""
NpcComOnSuccess#4,"""/face2 Mr. 보완에게 포톤을<br>많이 줄 수 있었던 모양입니다.<br>좋은 일이 생겼나요?"""
NpcComOnFailure#4,"""Mr. 보완에게 줄 포톤이<br>부족했던 모양이네요.<br>통상 임무로 돌아가 주세요."""
StruckJackBox#4,"""Mr. 보완은 변덕스러워요!<br>금방 어디론가 가 버리니<br>많이 공격해 주세요."""
NpcComOnPreBegin#5,"""주변을 경계해 주세요!<br>수상한 반응이 있습니다!"""
NpcComOnBegin#5,"""/face2 저건!\u3000Mr. 보완이군요!<br>공격으로 포톤을 주면<br>좋은 일이 생긴다고 해요!"""
NpcComOnSuccess#5,"""/face2 Mr. 보완에게 포톤을<br>많이 줄 수 있었던 모양입니다.<br>좋은 일이 생겼나요?"""
NpcComOnFailure#5,"""Mr. 보완에게 줄 포톤이<br>부족했던 모양이네요.<br>통상 임무로 돌아가 주세요."""
StruckJackBox#5,"""Mr. 보완은 변덕스러워요!<br>금방 어디론가 가 버리니<br>많이 공격해 주세요."""
