IncidentName#0,"""시한폭탄 해제"""
TrialBeginMsg#0,"""모든 시한폭탄을 해제하라!"""
TrialAbstract#0,"""모든 시한폭탄을 해제하라!"""
ToastOnHalfFinish#0,"""시한폭탄 남은 수 앞으로 절반."""
ToastOnLast#0,"""시한폭탄 남은 수 앞으로 한 개."""
ToastCollect#0,"""$(0)에 의해 시한폭탄이 해제되었습니다."""
ToastCollect2#0,"""시한폭탄이 해제되었습니다."""
ToastRewards#0,"""$(0)(이)가 $(1)EXP $(2)메세타 획득"""
NpcComOnBegin#0,"""다커에 의한 시간 제한 폭탄이 출현.<br>이미 여러 개가 확인되었습니다.<br>어떻게든 폭발하기 전에 대처해주세요."""
NpcComOnBegin2#0,"""시한폭탄은 위력은 높지만<br>구조를 이해하면 해제 가능합니다.<br>폭탄을 자세히 관찰해주세요."""
NpcComOnSuccess#0,"""모든 시한폭탄의 해제를 확인.<br>수고하셨습니다."""
NpcComOnFailure#0,"""시한폭탄 폭발을 감지.<br>……무사 하신가요?"""
NpcComOnLastHalf#0,"""남은 시한폭탄은 대략 절반입니다.<br>계속해서 해제해주세요."""
NpcComOnLastOne#0,"""남은 시한폭탄은 앞으로 하나입니다."""
NpcComOnCorrect#0,"""목표 시한폭탄 열량 저하.<br>무력화를 확인했습니다. 해제 성공입니다."""
NpcComOnIncorrect#0,"""선택을 잘못한 것 같습니다.<br>다시 선택이 가능하기까지<br>시간이 걸릴 것 같네요."""
NpcComOnRemain30#0,"""시한폭탄의 시간 초과까지<br>앞으로 30초입니다.<br>대처를 서둘러 주세요."""
NpcComOnJoin#0,"""현재 다커의 시한폭탄에 대한<br>대응을 실시 중입니다.<br>각 대원은 협력 부탁드립니다."""
NpcComOnBegin#1,"""큰일이군……다커의 시한폭탄이<br>여기저기에 출현하고 있는 듯해.<br>폭발하기 전에 대처해야 해 서둘러."""
NpcComOnBegin2#1,"""그 시한폭탄의 위력은 뛰어나지만<br>장치의 구조를 알아내면 무력화 가능하다.<br>시간이 허락하는 한 해제에 전념하라."""
NpcComOnSuccess#1,"""좋았어 모든 시한폭탄의 정지를 확인.<br>잘했어."""
NpcComOnFailure#1,"""이상 열량을 감지!<br>막지 못한 건가……!<br>큿……무사한거냐?"""
NpcComOnLastHalf#1,"""좋았어 남은 시한폭탄의 숫자는<br>앞으로 절반 정도야.<br>계속해서 해제를 진행해줘."""
NpcComOnLastOne#1,"""시한폭탄 남은 건 앞으로 하나!<br>끝까지 방심하지마."""
NpcComOnCorrect#1,"""시한폭탄의 반응이 약해졌고만.<br>해제에 성공한 것 같아."""
NpcComOnIncorrect#1,"""해제 미스인가……<br>그 상태라면 당분간<br>포인트의 재선택은 못 하겠는걸. """
NpcComOnRemain30#1,"""시한폭탄의 시간 초과까지<br>앞으로 30초야.<br>대처를 서둘러줘."""
NpcComOnJoin#1,"""마침 잘 왔어.<br>현재 다커의 시한폭탄의<br>대응을 실시하고 있어. 도와줄 수 있겠어?"""
NpcComOnBegin#2,"""이, 이 반응은! 경계! 경계!<br>다커의 시한폭탄이 출현했습니다!<br>그것도 엄청 대량으로!"""
NpcComOnBegin2#2,"""그, 그치만 안심해주세요!<br>잘 보면 멈출 힌트가 있을 거에요!<br>자세히 관찰해서 멈춰주세요-!"""
NpcComOnSuccess#2,"""/face2 시한폭탄 전부 멈췄어요!<br>해내셨네요! 수고하셨습니다!"""
NpcComOnFailure#2,"""앗차아……대폭발……<br>참 그게 아니라!<br>괘, 괘괜, 괜찮으세요?!"""
NpcComOnLastHalf#2,"""남은 건 앞으로 절반이에요오-!<br>힘내요! 힘내주세요!"""
NpcComOnLastOne#2,"""남은 건 앞으로 하나입니다!<br>마지막 한 고비인 거에요!<br>……어라, 아닌가?"""
NpcComOnCorrect#2,"""그 시한폭탄은 멈춘 것 같아요!<br>해냈어요! 해제 대성공입니다!"""
NpcComOnIncorrect#2,"""우-음 틀려버린 느낌이에요.<br>다시 선택 가능해질 때까지<br>약간 시간이 걸릴 것 같네요.……"""
NpcComOnRemain30#2,"""아왓, 아와왓! 시한폭탄이<br>앞으로 30초면 폭발해버려요!<br>서둘러요! 서둘러주세요!"""
NpcComOnJoin#2,"""/face2 마침 잘 와주셨어요!<br>다커의 시한폭탄 해제를<br>도와주실 수 있으신가요?"""
NpcComOnBegin#3,"""다커의 시한폭탄이 출현!<br>이미 다수의 반응이 있습니다!<br>서둘러 대처해주세요!"""
NpcComOnBegin2#3,"""시한폭탄의 위력은 높지만<br>장치의 구조를 이해하면 해제 가능합니다.<br>폭탄의 표면을 잘 살펴보세요!"""
NpcComOnSuccess#3,"""시한폭탄 모두 해제!<br>수고하셨습니다!"""
NpcComOnFailure#3,"""시간 제한 폭탄의 폭발을 감지!<br>무사하신가요!?"""
NpcComOnLastHalf#3,"""남은 건 앞으로 절반입니다!<br>계속해서 해제를 진행해주세요!"""
NpcComOnLastOne#3,"""남은 시한폭탄 앞으로 하나입니다!"""
NpcComOnCorrect#3,"""시간 제한 폭탄 열량 저하 확인.<br>무력화됐네요!<br>해제 성공입니다!"""
NpcComOnIncorrect#3,"""앗차아, 아니었나봐요.<br>다시 한번 폭탄의 표면을 잘 보고<br>정답을 찾아주세요!"""
NpcComOnRemain30#3,"""시간 제한 폭탄의 시간 초과까지<br>앞으로 30초! 주의해주세요!"""
NpcComOnJoin#3,"""/face2 마침 잘 오셨습니다!<br>다커의 시한폭탄 해제를<br>도와주시지 않겠습니까?"""
