IncidentName#0,"""$(0) 격파"""
TrialBeginMsg#0,"""긴급 지령!<br>$(0) 격파하기!"""
TrialAbstract#0,"""난입해온<br>$(0) 격파하기!"""
NpcComOnPreBegin#0,"""냐우 철수……아니!<br>철수 영향으로 공간에 왜곡 발생!<br>주의해주세요!"""
NpcComOnBegin#0,"""$(0)의 출현을 확인했습니다.<br>연전이 되겠지만 각 대원 요격<br>부탁드립니다."""
NpcComOnSuccess#0,"""수고하셨습니다.<br>적절한 대처에 감사합니다."""
NpcComOnFailure#0,"""/face4 상황 실패입니다.<br>각 대원 통상임무로 돌아가주세요."""
NpcComOnPreBegin_Other#0,"""냐우 철수……아니!<br>철수 영향으로 공간에 왜곡 발생!<br>주의해주세요!"""
NpcComOnBegin_Other#0,"""$(0)의 출현을 확인했습니다.<br>연전이 되겠지만 각 대원 요격<br>부탁드립니다."""
NpcComOnSuccess_Other#0,"""수고하셨습니다.<br>적절한 대처에 감사합니다."""
NpcComOnFailure_Other#0,"""/face4 상황 실패입니다.<br>각 대원 통상임무로 돌아가주세요."""
NpcComOnPreBegin_Darker#0,"""냐우 철수……아니!<br>철수 영향으로 공간에 왜곡 발생!<br>주의해주세요!"""
NpcComOnBegin_Darker#0,"""$(0)의 출현을 확인했습니다.<br>연전이 되겠지만 각 대원 요격<br>부탁드립니다."""
NpcComOnSuccess_Darker#0,"""수고하셨습니다.<br>적절한 대처에 감사합니다."""
NpcComOnFailure_Darker#0,"""/face4 상황 실패입니다.<br>각 대원 통상임무로 돌아가주세요."""
NpcComOnPreBegin#1,"""냐우의 도망을 확인……음?<br>도망의 영향으로 인한 공간 왜곡 감지.<br>뭔가 온다. 주의해라!"""
NpcComOnBegin#1,"""칫, 성가신 에너미가 나타난 듯하다.<br>각 대원 전투태세. 목표를 격퇴하라."""
NpcComOnSuccess#1,"""반응 소실.<br>갑작스런 내습이었지만 잘해줬다."""
NpcComOnFailure#1,"""/face6 ……실패인가.<br>각 대원 통상임무로 돌아가라."""
NpcComOnPreBegin_Other#1,"""냐우의 도망을 확인……음?<br>도망의 영향으로 인한 공간 왜곡 감지.<br>뭔가 온다. 주의해라!"""
NpcComOnBegin_Other#1,"""칫, 성가신 에너미가 나타난 듯하다.<br>각 대원 전투태세. 목표를 격퇴하라."""
NpcComOnSuccess_Other#1,"""반응 소실.<br>갑작스런 내습이었지만 잘해줬다."""
NpcComOnFailure_Other#1,"""/face6 ……실패인가.<br>각 대원 통상임무로 돌아가라."""
NpcComOnPreBegin_Darker#1,"""냐우의 도망을 확인……음?<br>도망의 영향으로 인한 공간 왜곡 감지.<br>뭔가 온다. 주의해라!"""
NpcComOnBegin_Darker#1,"""칫, 성가신 에너미가 나타난 듯하다.<br>각 대원 전투태세. 목표를 격퇴하라."""
NpcComOnSuccess_Darker#1,"""반응 소실.<br>갑작스런 내습이었지만 잘해줬다."""
NpcComOnFailure_Darker#1,"""/face6 ……실패인가.<br>각 대원 통상임무로 돌아가라."""
NpcComOnPreBegin#2,"""냐우가 도주……라니 어라랏?<br>도주의 영향으로 공간이<br>이상한 느낌……<br>조, 조심해주세요!"""
NpcComOnBegin#2,"""강력한 적분이 와버렸어요……<br>여러분 조금만 더 힘내세요!"""
NpcComOnSuccess#2,"""됐어! 됐어! 해냈어요!<br>이제 적분들의 반응은 없어요!<br>여러분 수고하셨습니다!"""
NpcComOnFailure#2,"""/face6 으, 실패네요……<br>통상임무로 돌아가주세요."""
NpcComOnPreBegin_Other#2,"""냐우가 도주……라니 어라랏?<br>도주의 영향으로 공간이<br>이상한 느낌……<br>조, 조심해주세요!"""
NpcComOnBegin_Other#2,"""강력한 적분이 와버렸어요……<br>여러분 조금만 더 힘내세요!"""
NpcComOnSuccess_Other#2,"""됐어! 됐어! 해냈어요!<br>이제 적분들의 반응은 없어요!<br>여러분 수고하셨습니다!"""
NpcComOnFailure_Other#2,"""/face6 으, 실패네요……<br>통상임무로 돌아가주세요."""
NpcComOnPreBegin_Darker#2,"""냐우가 도주……라니 어라랏?<br>도주의 영향으로 공간이<br>이상한 느낌……<br>조, 조심해주세요!"""
NpcComOnBegin_Darker#2,"""강력한 적분이 와버렸어요……<br>여러분 조금만 더 힘내세요!"""
NpcComOnSuccess_Darker#2,"""됐어! 됐어! 해냈어요!<br>이제 적분들의 반응은 없어요!<br>여러분 수고하셨습니다!"""
NpcComOnFailure_Darker#2,"""/face6 으, 실패네요……<br>통상임무로 돌아가주세요."""
NpcComOnPreBegin#3,"""냐우의 철수를 확인……。<br>철수 영향으로 인한 공간 왜곡 감지.<br>……새로운 적성 반응이 옵니다."""
NpcComOnBegin#3,"""긴급 통신.<br>출현한 에너미를 격퇴해주세요."""
NpcComOnSuccess#3,"""적성 반응 완전 소실.<br>돌발현상의 대응 훌륭했습니다."""
NpcComOnFailure#3,"""/face4 상황 실패입니다.<br>각 대원 통상임무로 돌아가주세요."""
NpcComOnPreBegin_Other#3,"""냐우의 철수를 확인……。<br>철수 영향으로 인한 공간 왜곡 감지.<br>……새로운 적성 반응이 옵니다."""
NpcComOnBegin_Other#3,"""긴급 통신.<br>출현한 에너미를 격퇴해주세요."""
NpcComOnSuccess_Other#3,"""적성 반응 완전 소실.<br>돌발현상의 대응 훌륭했습니다."""
NpcComOnFailure_Other#3,"""/face4 상황 실패입니다.<br>각 대원 통상임무로 돌아가주세요."""
NpcComOnPreBegin_Darker#3,"""냐우의 철수를 확인……。<br>철수 영향으로 인한 공간 왜곡 감지.<br>……새로운 적성 반응이 옵니다."""
NpcComOnBegin_Darker#3,"""긴급 통신.<br>출현한 에너미를 격퇴해주세요."""
NpcComOnSuccess_Darker#3,"""적성 반응 완전 소실.<br>돌발현상의 대응 훌륭했습니다."""
NpcComOnFailure_Darker#3,"""/face4 상황 실패입니다.<br>각 대원 통상임무로 돌아가주세요."""
NpcComOnPreBegin#4,"""냐우는 도망친 것 같지만……<br>공간에 왜곡이 발생했어요.<br>뭔가 나올거에요!"""
NpcComOnBegin#4,"""새로운 에너미의 출현을 확인.<br>요격을 부탁드립니다!"""
NpcComOnSuccess#4,"""여러분들 덕분에 요격 완료!<br>연전 수고하셨습니다!"""
NpcComOnFailure#4,"""으으음……유감이지만 요격 실패입니다.<br>통상 임무로 돌아가주세요."""
NpcComOnPreBegin_Other#4,"""냐우는 도망친 것 같지만……<br>공간에 왜곡이 발생했어요.<br>뭔가 나올거에요!"""
NpcComOnBegin_Other#4,"""새로운 에너미의 출현을 확인.<br>요격을 부탁드립니다!"""
NpcComOnSuccess_Other#4,"""여러분들 덕분에 요격 완료!<br>연전 수고하셨습니다!"""
NpcComOnFailure_Other#4,"""으으음……유감이지만 요격 실패입니다.<br>통상 임무로 돌아가주세요."""
NpcComOnPreBegin_Darker#4,"""냐우는 도망친 것 같지만……<br>공간에 왜곡이 발생했어요.<br>뭔가 나올거에요!"""
