IncidentName#0,"""침식 전투기 제어기구 파괴"""
TrialBeginMsg#0,"""다커에 침식된 전투기의<br>제어 기구를 찾아내서 파괴하라!"""
TrialAbstract#0,"""다커에 침식된 전투기의<br>제어 기구를 찾아내서 파괴하라!"""
NpcComOnBegin#0,"""이건……다커의 반응!?<br>녀석들 아크스의 전투기를<br>탈취했다는 건가!"""
NpcComOnBeginAtRareCase#0,"""비정상적인 다커 반응 감지.<br>다른 전역으로 전이하려고 하고있다!<br>절대로 놓치지 마라!"""
NpcComOnSuccess#0,"""제어 기구의 파괴를 확인.<br>침식 전투기의 반응도 소실됐다.<br>상황 종료다."""
NpcComOnFailure#0,"""/face6 침식 전투기의 전이를 확인.<br>추적은 불가능하겠지.<br>본연의 임무를 계속해라."""
AppearHeli#0,"""아크스의 전투기라고?<br>……상태가 이상하다. 조심해라."""
BreakHeli#0,"""격추 한 것 같지만……。<br>방심하지 마라 끝이 아니다."""
RespawnHeli#0,"""역시 몇 기라도 나타나는가……"""
UrgesFindCore#0,"""그 녀석을 공격해도 소용없다.<br>어딘가에 제어 기구가 있다.<br>찾아내서 파괴해라."""
UrgesArrivalCore1st#0,"""제어 기구의 위치를 특정했다.<br>$(0)에 빨리가서 파괴해라."""
UrgesArrivalCore#0,"""제어 기구 위치는 $(0)이다.<br>빨리가서 파괴해라."""
FindCore#0,"""그 녀석이 제어 기구다.<br>신속하게 파괴해라."""
DamagedCore#0,"""좋아, 그대로 공격을 가해서<br>단숨에 파괴해라."""
TimeupWarning#0,"""가목표 전이할 시간이 다가오고 있다.<br>그 녀석을 놓치면 피해가 커진다!<br>가급적 신속하게 파괴해라!"""
TimeupEmergency#0,"""목표의 전이까지 시간이 없다.<br>어서 제어 기구를 파괴해라!"""
