IncidentName#0,"""용혈족 방어 위반"""
TrialBeginMsg#0,"""거점을 방어하는 모든 용족을 격파하라."""
TrialAbstract#0,"""거점을 방어하는 모든 용족을 격파하라."""
NpcComOnBegin#0,"""거점의 방위대인 모양이지만<br>다커의 영향을 받고 있습니다.<br>어쩔 수 없군요. 대응해 주세요."""
NpcComOnCloseSuccess#0,"""/face2 적성 존재 격파를 확인했습니다.<br>계속해서 용자정을 파괴해<br>방벽을 개방해 주세요."""
NpcComOnOpenSuccess#0,"""/face2 적성 존재 격파를 확인했습니다.<br>앞으로 나아가 주세요."""
NpcComOnOpenDoor#0,"""적 거점의 방벽은 개방됐지만<br>공격은 멈추지 않는군요.<br>…대응해 주세요."""
NpcComOnDestroyCrystal#0,"""용자정 파괴를 확인했습니다."""
NpcComOnBegin#1,"""적 거점 주변에서 다수의 용족을 확인.<br>다커의 영향을 받은 모양이군.<br>…온다. 조심해라."""
NpcComOnCloseSuccess#1,"""적성 반응 격퇴를 확인했다.<br>계속 적 거점을 공략해라."""
NpcComOnOpenSuccess#1,"""적성 반응 격퇴를 확인했다.<br>주변을 경계하며 안쪽으로 가라."""
NpcComOnOpenDoor#1,"""적 거점의 방벽은 열렸지만<br>…공격은 멈추지 않는군.<br>어쩔 수 없다. 적절히 대응해라."""
NpcComOnDestroyCrystal#1,"""용자정 파괴를 확인했다."""
NpcComOnBegin#2,"""으음, 저 방위대의 용족들<br>침식된 모양이네요…<br>쓰러뜨리고 앞으로 가죠!"""
NpcComOnCloseSuccess#2,"""/face2 적의 반응이 사라졌습니다!<br>이제 용자정을 파괴해서<br>방벽을 열어요!"""
NpcComOnOpenSuccess#2,"""/face2 적의 반응이 사라졌습니다!<br>계속 안쪽으로<br>나아가 주세요!"""
NpcComOnOpenDoor#2,"""방벽 개방을 확인했습니다!<br>…하지만 적은 멈추지 않네요.<br>쓰러뜨릴 수밖에 없겠어요."""
NpcComOnDestroyCrystal#2,"""용자정 파괴,<br>확인했습니다!"""
